ticket_id,subject,body,language,category,priority,status,created_at,tenant_id
ML-20018,Não consigo fazer login,Ticket submitted in pt. Category: Network. Priority escalated by user.,pt,Network,High,Escalated,2023-05-28 02:37:24,tenant_initech
ML-20019,System down,Ticket submitted in en. Category: Cloud. Priority escalated by user.,en,Cloud,Medium,Resolved,2023-11-23 08:44:14,tenant_globex
ML-20020,System down,Ticket submitted in en. Category: Printing. Priority escalated by user.,en,Printing,Low,Escalated,2023-08-02 22:46:30,tenant_globex
ML-20021,Réinitialiser le mot de passe,Ticket submitted in fr. Category: VPN. Priority escalated by user.,fr,VPN,High,Open,2023-06-10 01:13:43,tenant_acme
ML-20022,Screen broken,Ticket submitted in en. Category: Security. Priority escalated by user.,en,Security,High,Open,2023-08-15 00:11:42,tenant_initech
ML-20023,Screen broken,Ticket submitted in en. Category: Hardware. Priority escalated by user.,en,Hardware,Critical,Closed,2023-03-21 14:17:37,tenant_globex
ML-20024,Não consigo fazer login,Ticket submitted in pt. Category: Network. Priority escalated by user.,pt,Network,Critical,Resolved,2023-04-26 18:13:05,tenant_acme
ML-20025,Kann mich nicht anmelden,Ticket submitted in de. Category: Network. Priority escalated by user.,de,Network,Medium,Resolved,2024-06-27 21:53:20,tenant_acme
ML-20026,Impossible de se connecter,Ticket submitted in fr. Category: Cloud. Priority escalated by user.,fr,Cloud,Critical,Open,2023-02-22 14:28:44,tenant_initech
ML-20027,Restablecer contraseña,Ticket submitted in es. Category: Cloud. Priority escalated by user.,es,Cloud,Low,In Progress,2024-01-02 10:30:02,tenant_acme
ML-20028,Besoin d'accès logiciel,Ticket submitted in fr. Category: Printing. Priority escalated by user.,fr,Printing,Low,Resolved,2023-09-18 23:50:39,tenant_globex
ML-20029,Scherm kapot,Ticket submitted in nl. Category: Printing. Priority escalated by user.,nl,Printing,Medium,Escalated,2024-04-05 17:33:34,tenant_initech
ML-20030,Software-Zugriff benötigt,Ticket submitted in de. Category: Software. Priority escalated by user.,de,Software,High,Closed,2024-04-03 06:20:16,tenant_initech
ML-20031,Besoin d'accès logiciel,Ticket submitted in fr. Category: Network. Priority escalated by user.,fr,Network,Low,Resolved,2023-11-15 06:17:48,tenant_initech
ML-20032,Système en panne,Ticket submitted in fr. Category: Database. Priority escalated by user.,fr,Database,High,Closed,2023-06-09 13:58:20,tenant_initech
ML-20033,Wachtwoord resetten,Ticket submitted in nl. Category: Cloud. Priority escalated by user.,nl,Cloud,Critical,Open,2023-10-28 00:12:46,tenant_initech
ML-20034,Redefinir senha,Ticket submitted in pt. Category: Cloud. Priority escalated by user.,pt,Cloud,Critical,Closed,2023-01-14 20:53:07,tenant_initech
ML-20035,Bildschirm defekt,Ticket submitted in de. Category: Printing. Priority escalated by user.,de,Printing,Medium,In Progress,2023-01-10 16:00:31,tenant_globex
ML-20036,Password reset,Ticket submitted in en. Category: Database. Priority escalated by user.,en,Database,Medium,Closed,2023-02-05 10:53:54,tenant_globex
ML-20037,Scherm kapot,Ticket submitted in nl. Category: Printing. Priority escalated by user.,nl,Printing,Critical,Resolved,2023-11-30 01:37:30,tenant_acme
ML-20038,Restablecer contraseña,Ticket submitted in es. Category: Email. Priority escalated by user.,es,Email,Low,Escalated,2023-04-07 22:13:36,tenant_globex
ML-20039,Kann mich nicht anmelden,Ticket submitted in de. Category: Hardware. Priority escalated by user.,de,Hardware,High,Open,2024-01-24 04:53:27,tenant_acme
ML-20040,Bildschirm defekt,Ticket submitted in de. Category: Database. Priority escalated by user.,de,Database,Critical,Resolved,2023-09-21 18:44:37,tenant_acme
ML-20041,Système en panne,Ticket submitted in fr. Category: Cloud. Priority escalated by user.,fr,Cloud,Critical,Resolved,2024-02-03 02:23:56,tenant_acme
ML-20042,Kann mich nicht anmelden,Ticket submitted in de. Category: Access Management. Priority escalated by user.,de,Access Management,Medium,In Progress,2024-06-16 08:53:08,tenant_acme
ML-20043,Necesito acceso al software,Ticket submitted in es. Category: Printing. Priority escalated by user.,es,Printing,Critical,Resolved,2024-03-09 22:52:40,tenant_globex
ML-20044,Não consigo fazer login,Ticket submitted in pt. Category: VPN. Priority escalated by user.,pt,VPN,High,Resolved,2023-07-28 10:41:22,tenant_acme
ML-20045,Toegang tot software nodig,Ticket submitted in nl. Category: Security. Priority escalated by user.,nl,Security,Medium,Escalated,2023-09-03 20:35:51,tenant_initech
ML-20046,Redefinir senha,Ticket submitted in pt. Category: VPN. Priority escalated by user.,pt,VPN,High,Resolved,2024-01-15 17:24:27,tenant_acme
ML-20047,Sistema fora do ar,Ticket submitted in pt. Category: Cloud. Priority escalated by user.,pt,Cloud,Medium,Open,2023-04-02 01:55:29,tenant_initech
ML-20048,Software-Zugriff benötigt,Ticket submitted in de. Category: Printing. Priority escalated by user.,de,Printing,High,Escalated,2023-11-15 06:12:06,tenant_initech
ML-20049,Preciso de acesso ao software,Ticket submitted in pt. Category: Access Management. Priority escalated by user.,pt,Access Management,High,Closed,2023-05-13 16:43:47,tenant_acme
ML-20050,Screen broken,Ticket submitted in en. Category: Network. Priority escalated by user.,en,Network,Critical,Closed,2023-11-16 19:52:56,tenant_initech
ML-20051,Scherm kapot,Ticket submitted in nl. Category: Email. Priority escalated by user.,nl,Email,Low,Open,2023-04-29 18:39:56,tenant_globex
ML-20052,Impossible de se connecter,Ticket submitted in fr. Category: Database. Priority escalated by user.,fr,Database,Critical,Resolved,2023-01-24 23:33:54,tenant_acme
ML-20053,Passwort zurücksetzen,Ticket submitted in de. Category: Security. Priority escalated by user.,de,Security,High,Open,2023-08-09 06:19:31,tenant_globex
ML-20054,System ausgefallen,Ticket submitted in de. Category: Hardware. Priority escalated by user.,de,Hardware,Critical,Open,2023-08-26 14:05:43,tenant_globex
ML-20055,Bildschirm defekt,Ticket submitted in de. Category: Email. Priority escalated by user.,de,Email,High,Open,2023-04-27 06:45:34,tenant_globex
ML-20056,Tela quebrada,Ticket submitted in pt. Category: Email. Priority escalated by user.,pt,Email,Low,In Progress,2023-10-30 10:47:47,tenant_globex
ML-20057,Redefinir senha,Ticket submitted in pt. Category: Network. Priority escalated by user.,pt,Network,Critical,Open,2023-07-10 03:56:26,tenant_acme
ML-20058,Toegang tot software nodig,Ticket submitted in nl. Category: VPN. Priority escalated by user.,nl,VPN,Medium,In Progress,2024-06-05 03:14:46,tenant_initech
ML-20059,Réinitialiser le mot de passe,Ticket submitted in fr. Category: Software. Priority escalated by user.,fr,Software,Critical,Closed,2024-06-19 02:18:13,tenant_acme
ML-20060,Bildschirm defekt,Ticket submitted in de. Category: VPN. Priority escalated by user.,de,VPN,Medium,In Progress,2023-07-12 15:54:14,tenant_acme
ML-20061,Système en panne,Ticket submitted in fr. Category: Hardware. Priority escalated by user.,fr,Hardware,High,Resolved,2023-10-16 03:59:24,tenant_initech
ML-20062,Systeem down,Ticket submitted in nl. Category: Cloud. Priority escalated by user.,nl,Cloud,Low,Escalated,2024-04-06 03:30:05,tenant_acme
ML-20063,Systeem down,Ticket submitted in nl. Category: VPN. Priority escalated by user.,nl,VPN,Low,Open,2024-01-20 08:45:51,tenant_acme
ML-20064,Bildschirm defekt,Ticket submitted in de. Category: Hardware. Priority escalated by user.,de,Hardware,High,Escalated,2023-08-15 14:38:10,tenant_initech
ML-20065,No puedo iniciar sesión,Ticket submitted in es. Category: Access Management. Priority escalated by user.,es,Access Management,Medium,Open,2023-01-10 16:53:10,tenant_initech
ML-20066,Bildschirm defekt,Ticket submitted in de. Category: Software. Priority escalated by user.,de,Software,Low,Escalated,2024-03-14 02:51:30,tenant_globex
ML-20067,Tela quebrada,Ticket submitted in pt. Category: Database. Priority escalated by user.,pt,Database,Low,Open,2023-01-17 09:13:16,tenant_globex
ML-20068,Système en panne,Ticket submitted in fr. Category: Access Management. Priority escalated by user.,fr,Access Management,Low,Escalated,2023-07-04 22:43:29,tenant_globex
ML-20069,Système en panne,Ticket submitted in fr. Category: Security. Priority escalated by user.,fr,Security,Critical,In Progress,2023-05-08 05:55:05,tenant_acme
ML-20070,Écran cassé,Ticket submitted in fr. Category: Cloud. Priority escalated by user.,fr,Cloud,Low,Open,2024-01-04 16:34:25,tenant_acme
ML-20071,Sistema fora do ar,Ticket submitted in pt. Category: Hardware. Priority escalated by user.,pt,Hardware,Medium,Escalated,2023-03-24 20:20:27,tenant_globex
ML-20072,Pantalla rota,Ticket submitted in es. Category: Hardware. Priority escalated by user.,es,Hardware,Critical,Open,2023-02-13 11:33:16,tenant_initech
ML-20073,Sistema fora do ar,Ticket submitted in pt. Category: Email. Priority escalated by user.,pt,Email,High,In Progress,2024-06-02 18:21:41,tenant_initech
ML-20074,Réinitialiser le mot de passe,Ticket submitted in fr. Category: Hardware. Priority escalated by user.,fr,Hardware,Low,In Progress,2023-10-28 06:52:25,tenant_initech
ML-20075,Tela quebrada,Ticket submitted in pt. Category: Printing. Priority escalated by user.,pt,Printing,Critical,In Progress,2023-05-22 04:45:25,tenant_globex
ML-20076,Pantalla rota,Ticket submitted in es. Category: Email. Priority escalated by user.,es,Email,Critical,In Progress,2023-06-01 19:53:49,tenant_globex
ML-20077,Sistema fora do ar,Ticket submitted in pt. Category: Cloud. Priority escalated by user.,pt,Cloud,High,Open,2023-10-23 11:10:14,tenant_globex
ML-20078,Redefinir senha,Ticket submitted in pt. Category: Hardware. Priority escalated by user.,pt,Hardware,High,Escalated,2023-08-08 09:40:08,tenant_initech
ML-20079,System down,Ticket submitted in en. Category: VPN. Priority escalated by user.,en,VPN,Low,Resolved,2024-02-26 00:02:37,tenant_globex
ML-20080,System ausgefallen,Ticket submitted in de. Category: Cloud. Priority escalated by user.,de,Cloud,Low,Escalated,2024-01-08 20:52:44,tenant_initech
ML-20081,Système en panne,Ticket submitted in fr. Category: Access Management. Priority escalated by user.,fr,Access Management,Low,Open,2023-04-23 15:20:49,tenant_initech
ML-20082,Kan niet inloggen,Ticket submitted in nl. Category: Access Management. Priority escalated by user.,nl,Access Management,Medium,Open,2023-05-31 05:55:18,tenant_initech
ML-20083,Necesito acceso al software,Ticket submitted in es. Category: Access Management. Priority escalated by user.,es,Access Management,Low,Resolved,2024-01-23 21:17:13,tenant_globex
ML-20084,Kann mich nicht anmelden,Ticket submitted in de. Category: Access Management. Priority escalated by user.,de,Access Management,Low,Escalated,2023-10-16 05:48:14,tenant_initech
ML-20085,Restablecer contraseña,Ticket submitted in es. Category: Cloud. Priority escalated by user.,es,Cloud,Critical,Open,2023-05-05 22:50:17,tenant_acme
ML-20086,Toegang tot software nodig,Ticket submitted in nl. Category: Access Management. Priority escalated by user.,nl,Access Management,Critical,Resolved,2023-08-26 16:43:35,tenant_globex
ML-20087,Passwort zurücksetzen,Ticket submitted in de. Category: Hardware. Priority escalated by user.,de,Hardware,Medium,Resolved,2023-07-28 03:16:46,tenant_initech
ML-20088,Bildschirm defekt,Ticket submitted in de. Category: Cloud. Priority escalated by user.,de,Cloud,Low,Resolved,2024-06-17 18:28:25,tenant_acme
ML-20089,Toegang tot software nodig,Ticket submitted in nl. Category: Database. Priority escalated by user.,nl,Database,High,Escalated,2024-04-30 11:18:51,tenant_acme
ML-20090,System ausgefallen,Ticket submitted in de. Category: Security. Priority escalated by user.,de,Security,Critical,Escalated,2024-06-28 06:27:35,tenant_globex
ML-20091,Cannot login,Ticket submitted in en. Category: Security. Priority escalated by user.,en,Security,Low,Resolved,2024-05-16 07:47:58,tenant_initech
ML-20092,Restablecer contraseña,Ticket submitted in es. Category: Printing. Priority escalated by user.,es,Printing,Critical,Closed,2023-11-09 21:13:10,tenant_acme
ML-20093,Scherm kapot,Ticket submitted in nl. Category: Database. Priority escalated by user.,nl,Database,Critical,Open,2023-10-22 03:11:22,tenant_globex
ML-20094,System down,Ticket submitted in en. Category: Email. Priority escalated by user.,en,Email,Low,Open,2023-08-31 18:31:11,tenant_initech
ML-20095,Système en panne,Ticket submitted in fr. Category: Cloud. Priority escalated by user.,fr,Cloud,Low,Escalated,2023-08-24 12:23:06,tenant_globex
ML-20096,Não consigo fazer login,Ticket submitted in pt. Category: Network. Priority escalated by user.,pt,Network,High,Open,2024-06-03 00:21:03,tenant_acme
ML-20097,Besoin d'accès logiciel,Ticket submitted in fr. Category: Software. Priority escalated by user.,fr,Software,Low,In Progress,2023-02-12 09:49:47,tenant_acme
ML-20098,Restablecer contraseña,Ticket submitted in es. Category: Printing. Priority escalated by user.,es,Printing,High,Resolved,2023-01-28 05:37:05,tenant_acme
ML-20099,Besoin d'accès logiciel,Ticket submitted in fr. Category: Database. Priority escalated by user.,fr,Database,Medium,Closed,2023-10-12 10:24:52,tenant_globex
ML-20100,Wachtwoord resetten,Ticket submitted in nl. Category: Hardware. Priority escalated by user.,nl,Hardware,Critical,Resolved,2023-09-18 18:55:07,tenant_globex
ML-20101,Kann mich nicht anmelden,Ticket submitted in de. Category: Cloud. Priority escalated by user.,de,Cloud,High,Resolved,2024-05-31 23:28:14,tenant_globex
ML-20102,Restablecer contraseña,Ticket submitted in es. Category: VPN. Priority escalated by user.,es,VPN,Medium,Closed,2024-01-31 22:09:45,tenant_globex
ML-20103,Kan niet inloggen,Ticket submitted in nl. Category: Database. Priority escalated by user.,nl,Database,High,Escalated,2023-07-21 00:45:33,tenant_initech
ML-20104,Scherm kapot,Ticket submitted in nl. Category: Access Management. Priority escalated by user.,nl,Access Management,Low,Resolved,2023-05-10 14:36:42,tenant_initech
ML-20105,Password reset,Ticket submitted in en. Category: Database. Priority escalated by user.,en,Database,High,Open,2023-03-29 20:15:12,tenant_initech
ML-20106,Redefinir senha,Ticket submitted in pt. Category: Network. Priority escalated by user.,pt,Network,Critical,In Progress,2023-09-28 06:26:55,tenant_acme
ML-20107,Toegang tot software nodig,Ticket submitted in nl. Category: Database. Priority escalated by user.,nl,Database,Critical,In Progress,2023-10-05 14:44:47,tenant_initech
ML-20108,Need software access,Ticket submitted in en. Category: Hardware. Priority escalated by user.,en,Hardware,Critical,Open,2023-01-13 16:27:37,tenant_acme
ML-20109,System ausgefallen,Ticket submitted in de. Category: Email. Priority escalated by user.,de,Email,Critical,Open,2023-06-02 22:12:12,tenant_acme
ML-20110,Redefinir senha,Ticket submitted in pt. Category: Security. Priority escalated by user.,pt,Security,High,Open,2023-07-21 06:15:07,tenant_acme
ML-20111,Systeem down,Ticket submitted in nl. Category: Email. Priority escalated by user.,nl,Email,Low,Open,2023-05-12 08:21:41,tenant_globex
ML-20112,Écran cassé,Ticket submitted in fr. Category: Network. Priority escalated by user.,fr,Network,Low,Resolved,2023-12-28 09:12:59,tenant_globex
ML-20113,Kan niet inloggen,Ticket submitted in nl. Category: Email. Priority escalated by user.,nl,Email,Critical,Open,2024-04-07 12:14:36,tenant_acme
ML-20114,Restablecer contraseña,Ticket submitted in es. Category: Software. Priority escalated by user.,es,Software,Critical,Open,2024-06-10 15:54:53,tenant_globex
ML-20115,System ausgefallen,Ticket submitted in de. Category: Database. Priority escalated by user.,de,Database,Low,Escalated,2023-05-01 21:36:43,tenant_initech
ML-20116,Écran cassé,Ticket submitted in fr. Category: VPN. Priority escalated by user.,fr,VPN,High,Open,2023-10-22 04:55:27,tenant_acme
ML-20117,Não consigo fazer login,Ticket submitted in pt. Category: Access Management. Priority escalated by user.,pt,Access Management,Medium,Open,2024-02-26 23:24:08,tenant_acme
ML-20118,Necesito acceso al software,Ticket submitted in es. Category: Security. Priority escalated by user.,es,Security,Low,In Progress,2023-05-22 09:45:00,tenant_globex
ML-20119,Sistema fora do ar,Ticket submitted in pt. Category: Cloud. Priority escalated by user.,pt,Cloud,Low,Closed,2024-05-19 11:09:41,tenant_acme
ML-20120,Password reset,Ticket submitted in en. Category: Access Management. Priority escalated by user.,en,Access Management,Medium,Escalated,2023-12-30 08:14:13,tenant_globex
ML-20121,Impossible de se connecter,Ticket submitted in fr. Category: VPN. Priority escalated by user.,fr,VPN,Low,Closed,2023-07-20 05:39:13,tenant_globex
ML-20122,Systeem down,Ticket submitted in nl. Category: Database. Priority escalated by user.,nl,Database,Medium,Closed,2024-01-12 04:42:04,tenant_initech
ML-20123,Restablecer contraseña,Ticket submitted in es. Category: VPN. Priority escalated by user.,es,VPN,Critical,Closed,2023-04-29 12:27:00,tenant_globex
ML-20124,Passwort zurücksetzen,Ticket submitted in de. Category: Software. Priority escalated by user.,de,Software,Critical,In Progress,2023-04-15 21:55:34,tenant_acme
ML-20125,Passwort zurücksetzen,Ticket submitted in de. Category: VPN. Priority escalated by user.,de,VPN,Medium,Resolved,2023-12-12 12:43:32,tenant_globex
ML-20126,Não consigo fazer login,Ticket submitted in pt. Category: Database. Priority escalated by user.,pt,Database,Medium,Closed,2023-05-24 03:05:14,tenant_acme
ML-20127,No puedo iniciar sesión,Ticket submitted in es. Category: Email. Priority escalated by user.,es,Email,Critical,Open,2023-02-04 16:10:57,tenant_globex
ML-20128,Réinitialiser le mot de passe,Ticket submitted in fr. Category: Email. Priority escalated by user.,fr,Email,High,Escalated,2024-04-30 15:39:21,tenant_globex
ML-20129,Impossible de se connecter,Ticket submitted in fr. Category: Network. Priority escalated by user.,fr,Network,Critical,Open,2023-06-26 23:37:37,tenant_globex
ML-20130,Pantalla rota,Ticket submitted in es. Category: Email. Priority escalated by user.,es,Email,Low,Closed,2023-07-19 15:19:57,tenant_initech
ML-20131,Não consigo fazer login,Ticket submitted in pt. Category: Access Management. Priority escalated by user.,pt,Access Management,Low,Open,2023-04-17 19:17:09,tenant_acme
ML-20132,No puedo iniciar sesión,Ticket submitted in es. Category: Printing. Priority escalated by user.,es,Printing,Critical,Escalated,2023-11-24 11:36:22,tenant_acme
ML-20133,Redefinir senha,Ticket submitted in pt. Category: Access Management. Priority escalated by user.,pt,Access Management,Critical,Open,2023-09-16 03:55:04,tenant_globex
ML-20134,Besoin d'accès logiciel,Ticket submitted in fr. Category: Security. Priority escalated by user.,fr,Security,Critical,In Progress,2023-08-29 11:36:21,tenant_acme
ML-20135,Kan niet inloggen,Ticket submitted in nl. Category: Access Management. Priority escalated by user.,nl,Access Management,Low,Resolved,2023-05-09 14:37:04,tenant_acme
ML-20136,Need software access,Ticket submitted in en. Category: Database. Priority escalated by user.,en,Database,Low,Closed,2024-01-06 14:21:22,tenant_initech
ML-20137,Toegang tot software nodig,Ticket submitted in nl. Category: Database. Priority escalated by user.,nl,Database,Medium,Closed,2023-08-04 22:26:56,tenant_acme
ML-20138,Preciso de acesso ao software,Ticket submitted in pt. Category: Database. Priority escalated by user.,pt,Database,Critical,In Progress,2024-04-10 07:43:59,tenant_acme
ML-20139,Pantalla rota,Ticket submitted in es. Category: Cloud. Priority escalated by user.,es,Cloud,Medium,Open,2023-04-25 15:00:40,tenant_globex
ML-20140,Cannot login,Ticket submitted in en. Category: Network. Priority escalated by user.,en,Network,Critical,In Progress,2023-09-12 17:44:52,tenant_initech
ML-20141,Software-Zugriff benötigt,Ticket submitted in de. Category: Database. Priority escalated by user.,de,Database,Medium,Closed,2023-06-28 04:17:07,tenant_globex
ML-20142,Need software access,Ticket submitted in en. Category: Network. Priority escalated by user.,en,Network,Medium,Escalated,2023-07-10 10:14:24,tenant_globex
ML-20143,Besoin d'accès logiciel,Ticket submitted in fr. Category: VPN. Priority escalated by user.,fr,VPN,Low,Closed,2023-11-26 02:23:48,tenant_initech
ML-20144,Não consigo fazer login,Ticket submitted in pt. Category: Database. Priority escalated by user.,pt,Database,Critical,Open,2023-05-23 05:01:50,tenant_acme
ML-20145,Toegang tot software nodig,Ticket submitted in nl. Category: Email. Priority escalated by user.,nl,Email,High,Resolved,2023-12-17 23:02:12,tenant_acme
ML-20146,Besoin d'accès logiciel,Ticket submitted in fr. Category: Cloud. Priority escalated by user.,fr,Cloud,Medium,Escalated,2023-09-17 14:06:33,tenant_initech
ML-20147,Passwort zurücksetzen,Ticket submitted in de. Category: Security. Priority escalated by user.,de,Security,Medium,Resolved,2024-06-13 03:56:04,tenant_acme
ML-20148,Redefinir senha,Ticket submitted in pt. Category: Database. Priority escalated by user.,pt,Database,Low,Closed,2023-11-16 06:52:20,tenant_acme
ML-20149,Écran cassé,Ticket submitted in fr. Category: Access Management. Priority escalated by user.,fr,Access Management,High,Escalated,2023-09-26 14:39:54,tenant_acme
ML-20150,Pantalla rota,Ticket submitted in es. Category: Security. Priority escalated by user.,es,Security,Low,Resolved,2023-01-20 13:43:03,tenant_globex
ML-20151,Wachtwoord resetten,Ticket submitted in nl. Category: Network. Priority escalated by user.,nl,Network,Medium,Closed,2024-03-17 03:21:48,tenant_globex
ML-20152,System ausgefallen,Ticket submitted in de. Category: Database. Priority escalated by user.,de,Database,High,Open,2023-03-22 03:45:20,tenant_acme
ML-20153,Cannot login,Ticket submitted in en. Category: Email. Priority escalated by user.,en,Email,High,In Progress,2024-04-11 11:50:07,tenant_initech
ML-20154,Redefinir senha,Ticket submitted in pt. Category: Security. Priority escalated by user.,pt,Security,Medium,Resolved,2023-01-15 10:24:50,tenant_globex
ML-20155,Necesito acceso al software,Ticket submitted in es. Category: Email. Priority escalated by user.,es,Email,High,Open,2023-06-09 03:22:45,tenant_acme
ML-20156,Écran cassé,Ticket submitted in fr. Category: Email. Priority escalated by user.,fr,Email,High,Escalated,2023-04-02 03:08:34,tenant_initech
ML-20157,System ausgefallen,Ticket submitted in de. Category: Cloud. Priority escalated by user.,de,Cloud,Critical,Closed,2024-02-11 18:26:34,tenant_acme
ML-20158,Systeem down,Ticket submitted in nl. Category: Network. Priority escalated by user.,nl,Network,Low,Closed,2023-01-04 19:50:55,tenant_acme
ML-20159,Não consigo fazer login,Ticket submitted in pt. Category: Network. Priority escalated by user.,pt,Network,High,Escalated,2024-06-02 15:57:15,tenant_initech
ML-20160,Kann mich nicht anmelden,Ticket submitted in de. Category: Access Management. Priority escalated by user.,de,Access Management,Medium,Closed,2023-08-27 11:49:25,tenant_initech
ML-20161,Impossible de se connecter,Ticket submitted in fr. Category: Network. Priority escalated by user.,fr,Network,Medium,Open,2023-09-28 21:23:33,tenant_acme
ML-20162,System ausgefallen,Ticket submitted in de. Category: VPN. Priority escalated by user.,de,VPN,High,In Progress,2023-09-28 12:22:10,tenant_acme
ML-20163,Réinitialiser le mot de passe,Ticket submitted in fr. Category: Email. Priority escalated by user.,fr,Email,Medium,In Progress,2024-03-07 11:02:17,tenant_globex
ML-20164,Écran cassé,Ticket submitted in fr. Category: Cloud. Priority escalated by user.,fr,Cloud,Low,Resolved,2024-01-29 07:14:43,tenant_acme
ML-20165,Preciso de acesso ao software,Ticket submitted in pt. Category: Software. Priority escalated by user.,pt,Software,Low,Closed,2023-12-05 11:49:04,tenant_initech
ML-20166,Système en panne,Ticket submitted in fr. Category: Database. Priority escalated by user.,fr,Database,High,Resolved,2023-09-13 15:03:37,tenant_globex
ML-20167,Não consigo fazer login,Ticket submitted in pt. Category: Hardware. Priority escalated by user.,pt,Hardware,Medium,Resolved,2024-02-20 15:32:49,tenant_initech
ML-20168,No puedo iniciar sesión,Ticket submitted in es. Category: Security. Priority escalated by user.,es,Security,High,Open,2023-10-29 00:35:34,tenant_acme
ML-20169,Restablecer contraseña,Ticket submitted in es. Category: Email. Priority escalated by user.,es,Email,Medium,Escalated,2023-04-27 20:30:22,tenant_initech
ML-20170,No puedo iniciar sesión,Ticket submitted in es. Category: Hardware. Priority escalated by user.,es,Hardware,Critical,In Progress,2023-04-18 13:57:39,tenant_acme
ML-20171,Restablecer contraseña,Ticket submitted in es. Category: Printing. Priority escalated by user.,es,Printing,Medium,Open,2023-03-28 09:22:09,tenant_acme
ML-20172,Kan niet inloggen,Ticket submitted in nl. Category: Network. Priority escalated by user.,nl,Network,Low,In Progress,2023-12-04 04:48:50,tenant_acme
ML-20173,System ausgefallen,Ticket submitted in de. Category: Software. Priority escalated by user.,de,Software,Low,Closed,2023-06-07 05:21:58,tenant_initech
ML-20174,Restablecer contraseña,Ticket submitted in es. Category: Security. Priority escalated by user.,es,Security,Medium,Open,2023-10-01 12:20:51,tenant_globex
ML-20175,Wachtwoord resetten,Ticket submitted in nl. Category: Database. Priority escalated by user.,nl,Database,High,Escalated,2023-05-19 14:24:23,tenant_acme
ML-20176,Scherm kapot,Ticket submitted in nl. Category: Hardware. Priority escalated by user.,nl,Hardware,Critical,Open,2023-01-08 03:01:32,tenant_initech
ML-20177,Pantalla rota,Ticket submitted in es. Category: Email. Priority escalated by user.,es,Email,Low,Open,2023-04-19 22:30:04,tenant_acme
ML-20178,Écran cassé,Ticket submitted in fr. Category: Cloud. Priority escalated by user.,fr,Cloud,Medium,Closed,2023-01-27 13:44:50,tenant_globex
ML-20179,System down,Ticket submitted in en. Category: Hardware. Priority escalated by user.,en,Hardware,Critical,In Progress,2023-02-21 10:39:42,tenant_globex
ML-20180,No puedo iniciar sesión,Ticket submitted in es. Category: Network. Priority escalated by user.,es,Network,High,Closed,2024-01-09 01:29:48,tenant_acme
ML-20181,Systeem down,Ticket submitted in nl. Category: Printing. Priority escalated by user.,nl,Printing,Critical,In Progress,2023-03-18 20:50:48,tenant_acme
