ticket_id,created_at,category,priority,resolved,resolution_hours
TS-30038,2022-01-02 06:24:00,Network,Medium,True,50
TS-30039,2022-01-02 07:12:00,Email,Medium,False,81
TS-30040,2022-01-02 08:00:00,Email,Low,True,83
TS-30041,2022-01-02 08:48:00,Software,Medium,True,79
TS-30042,2022-01-02 09:36:00,VPN,Critical,True,1
TS-30043,2022-01-02 10:24:00,Software,Medium,True,93
TS-30044,2022-01-02 11:12:00,Software,High,True,81
TS-30045,2022-01-02 12:00:00,VPN,Low,True,56
TS-30046,2022-01-02 12:48:00,Access Management,Low,True,4
TS-30047,2022-01-02 13:36:00,Email,High,True,35
TS-30048,2022-01-02 14:24:00,Network,Low,True,43
TS-30049,2022-01-02 15:12:00,Access Management,High,True,37
TS-30050,2022-01-02 16:00:00,Network,Low,True,32
TS-30051,2022-01-02 16:48:00,Printing,Medium,False,2
TS-30052,2022-01-02 17:36:00,Software,Low,True,79
TS-30053,2022-01-02 18:24:00,Printing,Medium,True,80
TS-30054,2022-01-02 19:12:00,Security,Low,True,71
TS-30055,2022-01-02 20:00:00,Security,Critical,True,51
TS-30056,2022-01-02 20:48:00,Hardware,Medium,True,89
TS-30057,2022-01-02 21:36:00,Email,Medium,True,23
TS-30058,2022-01-02 22:24:00,Printing,High,True,55
TS-30059,2022-01-02 23:12:00,Security,Low,True,67
TS-30060,2022-01-03 00:00:00,Email,High,True,86
TS-30061,2022-01-03 00:48:00,Printing,Medium,False,62
TS-30062,2022-01-03 01:36:00,Cloud,High,True,73
TS-30063,2022-01-03 02:24:00,Printing,Critical,True,17
TS-30064,2022-01-03 03:12:00,Email,Low,True,96
TS-30065,2022-01-03 04:00:00,Database,High,False,93
TS-30066,2022-01-03 04:48:00,VPN,Low,True,70
TS-30067,2022-01-03 05:36:00,Software,High,True,38
TS-30068,2022-01-03 06:24:00,Cloud,High,False,81
TS-30069,2022-01-03 07:12:00,Hardware,High,True,5
TS-30070,2022-01-03 08:00:00,Access Management,Low,True,53
TS-30071,2022-01-03 08:48:00,VPN,High,False,20
TS-30072,2022-01-03 09:36:00,Printing,Medium,True,84
TS-30073,2022-01-03 10:24:00,Software,Low,True,67
TS-30074,2022-01-03 11:12:00,Email,Low,True,23
TS-30075,2022-01-03 12:00:00,Cloud,Low,True,43
TS-30076,2022-01-03 12:48:00,Database,Low,True,87
TS-30077,2022-01-03 13:36:00,Hardware,High,True,74
TS-30078,2022-01-03 14:24:00,Cloud,Medium,True,15
TS-30079,2022-01-03 15:12:00,Software,Critical,True,93
TS-30080,2022-01-03 16:00:00,Cloud,Low,False,19
TS-30081,2022-01-03 16:48:00,Email,Medium,True,89
TS-30082,2022-01-03 17:36:00,Software,High,False,81
TS-30083,2022-01-03 18:24:00,Access Management,Low,False,33
TS-30084,2022-01-03 19:12:00,Security,High,True,78
TS-30085,2022-01-03 20:00:00,Cloud,Medium,False,46
TS-30086,2022-01-03 20:48:00,Access Management,Low,True,75
TS-30087,2022-01-03 21:36:00,Security,Low,True,73
TS-30088,2022-01-03 22:24:00,Network,High,True,15
TS-30089,2022-01-03 23:12:00,Software,Medium,False,19
TS-30090,2022-01-04 00:00:00,Network,Low,True,22
TS-30091,2022-01-04 00:48:00,Access Management,Low,True,96
TS-30092,2022-01-04 01:36:00,Printing,Medium,True,26
TS-30093,2022-01-04 02:24:00,Cloud,High,True,57
TS-30094,2022-01-04 03:12:00,Software,Low,True,63
TS-30095,2022-01-04 04:00:00,Network,High,False,38
TS-30096,2022-01-04 04:48:00,Database,Critical,False,23
TS-30097,2022-01-04 05:36:00,Cloud,Low,True,70
TS-30098,2022-01-04 06:24:00,Email,Low,True,96
TS-30099,2022-01-04 07:12:00,Security,Critical,True,62
TS-30100,2022-01-04 08:00:00,VPN,Medium,True,51
TS-30101,2022-01-04 08:48:00,Network,Low,True,71
TS-30102,2022-01-04 09:36:00,Security,High,True,61
TS-30103,2022-01-04 10:24:00,Printing,Medium,True,60
TS-30104,2022-01-04 11:12:00,Security,Medium,True,12
TS-30105,2022-01-04 12:00:00,Network,Medium,True,14
TS-30106,2022-01-04 12:48:00,Network,Low,True,89
TS-30107,2022-01-04 13:36:00,Database,Critical,False,54
TS-30108,2022-01-04 14:24:00,Printing,Medium,True,77
TS-30109,2022-01-04 15:12:00,Printing,Medium,True,77
TS-30110,2022-01-04 16:00:00,Database,Critical,True,91
TS-30111,2022-01-04 16:48:00,Access Management,Medium,True,77
TS-30112,2022-01-04 17:36:00,VPN,Medium,True,8
TS-30113,2022-01-04 18:24:00,Hardware,Medium,True,62
TS-30114,2022-01-04 19:12:00,Hardware,High,True,1
TS-30115,2022-01-04 20:00:00,Network,Medium,True,76
TS-30116,2022-01-04 20:48:00,Cloud,Critical,True,37
TS-30117,2022-01-04 21:36:00,Access Management,High,False,43
TS-30118,2022-01-04 22:24:00,Security,Medium,True,15
TS-30119,2022-01-04 23:12:00,Email,Low,False,1
TS-30120,2022-01-05 00:00:00,Database,Medium,True,82
TS-30121,2022-01-05 00:48:00,Database,Medium,True,57
TS-30122,2022-01-05 01:36:00,VPN,Medium,True,75
TS-30123,2022-01-05 02:24:00,Network,Medium,True,85
TS-30124,2022-01-05 03:12:00,VPN,Low,True,40
TS-30125,2022-01-05 04:00:00,Database,Medium,False,96
TS-30126,2022-01-05 04:48:00,VPN,Low,True,44
TS-30127,2022-01-05 05:36:00,Cloud,Medium,True,95
TS-30128,2022-01-05 06:24:00,Email,Medium,True,43
TS-30129,2022-01-05 07:12:00,Email,High,True,79
TS-30130,2022-01-05 08:00:00,VPN,Low,True,50
TS-30131,2022-01-05 08:48:00,Hardware,Critical,True,8
TS-30132,2022-01-05 09:36:00,Security,Medium,False,50
TS-30133,2022-01-05 10:24:00,Software,Critical,True,57
TS-30134,2022-01-05 11:12:00,VPN,High,False,22
TS-30135,2022-01-05 12:00:00,VPN,Low,True,70
TS-30136,2022-01-05 12:48:00,Hardware,Medium,True,39
TS-30137,2022-01-05 13:36:00,Software,High,True,44
TS-30138,2022-01-05 14:24:00,Security,Low,True,90
TS-30139,2022-01-05 15:12:00,Database,Low,True,23
TS-30140,2022-01-05 16:00:00,Hardware,High,False,13
TS-30141,2022-01-05 16:48:00,Software,Low,True,36
TS-30142,2022-01-05 17:36:00,Cloud,Medium,True,3
TS-30143,2022-01-05 18:24:00,Email,Medium,True,44
TS-30144,2022-01-05 19:12:00,Software,Medium,False,73
TS-30145,2022-01-05 20:00:00,Hardware,High,False,88
TS-30146,2022-01-05 20:48:00,Hardware,Critical,False,40
TS-30147,2022-01-05 21:36:00,Database,High,False,15
TS-30148,2022-01-05 22:24:00,Email,Medium,True,93
TS-30149,2022-01-05 23:12:00,Printing,Medium,True,51
TS-30150,2022-01-06 00:00:00,Access Management,High,True,42
TS-30151,2022-01-06 00:48:00,Network,Medium,True,42
TS-30152,2022-01-06 01:36:00,Hardware,Low,True,28
TS-30153,2022-01-06 02:24:00,Network,High,False,83
TS-30154,2022-01-06 03:12:00,Database,Low,True,83
TS-30155,2022-01-06 04:00:00,Hardware,Low,True,3
TS-30156,2022-01-06 04:48:00,Network,Medium,False,79
TS-30157,2022-01-06 05:36:00,Security,Low,False,22
TS-30158,2022-01-06 06:24:00,Network,High,False,79
TS-30159,2022-01-06 07:12:00,Database,Medium,True,29
TS-30160,2022-01-06 08:00:00,Software,Critical,False,20
TS-30161,2022-01-06 08:48:00,Printing,Medium,False,53
TS-30162,2022-01-06 09:36:00,Database,Low,True,83
TS-30163,2022-01-06 10:24:00,Software,High,True,77
TS-30164,2022-01-06 11:12:00,Database,High,False,46
TS-30165,2022-01-06 12:00:00,Security,Low,True,58
TS-30166,2022-01-06 12:48:00,Cloud,Low,True,55
TS-30167,2022-01-06 13:36:00,Database,Medium,True,96
TS-30168,2022-01-06 14:24:00,VPN,Medium,False,8
TS-30169,2022-01-06 15:12:00,Email,Medium,True,94
TS-30170,2022-01-06 16:00:00,Hardware,Medium,True,26
TS-30171,2022-01-06 16:48:00,Software,Low,True,53
TS-30172,2022-01-06 17:36:00,Access Management,Medium,True,12
TS-30173,2022-01-06 18:24:00,Software,Medium,False,68
TS-30174,2022-01-06 19:12:00,VPN,Low,True,57
TS-30175,2022-01-06 20:00:00,Access Management,Medium,True,47
TS-30176,2022-01-06 20:48:00,Cloud,Medium,True,47
TS-30177,2022-01-06 21:36:00,Access Management,High,True,76
TS-30178,2022-01-06 22:24:00,Security,Low,True,39
TS-30179,2022-01-06 23:12:00,Hardware,Medium,True,14
TS-30180,2022-01-07 00:00:00,Security,Medium,True,94
TS-30181,2022-01-07 00:48:00,Printing,Medium,True,1
TS-30182,2022-01-07 01:36:00,Hardware,High,True,46
TS-30183,2022-01-07 02:24:00,Printing,Low,True,27
TS-30184,2022-01-07 03:12:00,Email,High,True,46
TS-30185,2022-01-07 04:00:00,VPN,Low,False,21
TS-30186,2022-01-07 04:48:00,Hardware,Medium,True,63
TS-30187,2022-01-07 05:36:00,VPN,Low,True,20
TS-30188,2022-01-07 06:24:00,Email,Medium,True,75
TS-30189,2022-01-07 07:12:00,Cloud,Medium,True,76
TS-30190,2022-01-07 08:00:00,Printing,Medium,True,59
TS-30191,2022-01-07 08:48:00,Hardware,Low,True,3
TS-30192,2022-01-07 09:36:00,Cloud,Low,True,68
TS-30193,2022-01-07 10:24:00,Security,Medium,False,60
TS-30194,2022-01-07 11:12:00,Network,Low,True,63
TS-30195,2022-01-07 12:00:00,Email,Medium,True,77
TS-30196,2022-01-07 12:48:00,Hardware,Low,True,35
TS-30197,2022-01-07 13:36:00,Hardware,Critical,True,33
TS-30198,2022-01-07 14:24:00,Access Management,Low,True,27
TS-30199,2022-01-07 15:12:00,Access Management,Medium,False,86
TS-30200,2022-01-07 16:00:00,Hardware,High,True,2
TS-30201,2022-01-07 16:48:00,Hardware,High,False,3
TS-30202,2022-01-07 17:36:00,Network,Low,True,3
TS-30203,2022-01-07 18:24:00,Cloud,Medium,True,63
TS-30204,2022-01-07 19:12:00,Security,Medium,True,94
TS-30205,2022-01-07 20:00:00,Security,Medium,True,37
TS-30206,2022-01-07 20:48:00,Software,Critical,True,1
TS-30207,2022-01-07 21:36:00,Software,Medium,True,10
TS-30208,2022-01-07 22:24:00,Printing,High,True,29
TS-30209,2022-01-07 23:12:00,Database,Medium,False,61
TS-30210,2022-01-08 00:00:00,Email,Medium,False,89
TS-30211,2022-01-08 00:48:00,Access Management,Critical,True,61
TS-30212,2022-01-08 01:36:00,VPN,Medium,True,68
TS-30213,2022-01-08 02:24:00,Software,High,True,12
TS-30214,2022-01-08 03:12:00,Software,Critical,False,82
TS-30215,2022-01-08 04:00:00,Database,Medium,True,72
TS-30216,2022-01-08 04:48:00,Cloud,Medium,True,92
TS-30217,2022-01-08 05:36:00,Network,Medium,False,24
TS-30218,2022-01-08 06:24:00,Network,Medium,True,6
TS-30219,2022-01-08 07:12:00,Network,Low,True,54
TS-30220,2022-01-08 08:00:00,Security,High,True,85
TS-30221,2022-01-08 08:48:00,Hardware,High,False,44
TS-30222,2022-01-08 09:36:00,Email,Medium,True,24
TS-30223,2022-01-08 10:24:00,Printing,Medium,True,76
TS-30224,2022-01-08 11:12:00,Hardware,Critical,True,3
TS-30225,2022-01-08 12:00:00,Printing,High,True,32
TS-30226,2022-01-08 12:48:00,Network,Low,False,89
TS-30227,2022-01-08 13:36:00,VPN,High,False,96
TS-30228,2022-01-08 14:24:00,Database,Low,False,2
TS-30229,2022-01-08 15:12:00,Access Management,Medium,True,57
TS-30230,2022-01-08 16:00:00,Hardware,Medium,True,90
TS-30231,2022-01-08 16:48:00,Cloud,Medium,True,34
TS-30232,2022-01-08 17:36:00,Security,Critical,True,63
TS-30233,2022-01-08 18:24:00,Cloud,High,True,22
TS-30234,2022-01-08 19:12:00,Printing,Critical,True,32
TS-30235,2022-01-08 20:00:00,Security,Medium,True,86
TS-30236,2022-01-08 20:48:00,Hardware,Medium,True,94
TS-30237,2022-01-08 21:36:00,Email,Low,False,60
TS-30238,2022-01-08 22:24:00,Network,Low,True,26
TS-30239,2022-01-08 23:12:00,Hardware,Medium,True,91
TS-30240,2022-01-09 00:00:00,Software,Low,True,6
TS-30241,2022-01-09 00:48:00,VPN,Medium,True,44
TS-30242,2022-01-09 01:36:00,Network,Medium,False,48
TS-30243,2022-01-09 02:24:00,Access Management,Low,True,6
TS-30244,2022-01-09 03:12:00,Access Management,Medium,True,79
TS-30245,2022-01-09 04:00:00,Software,Medium,True,74
TS-30246,2022-01-09 04:48:00,Software,Medium,True,21
TS-30247,2022-01-09 05:36:00,VPN,Medium,True,50
TS-30248,2022-01-09 06:24:00,Email,High,False,54
TS-30249,2022-01-09 07:12:00,Email,Critical,False,62
TS-30250,2022-01-09 08:00:00,Network,Low,True,5
TS-30251,2022-01-09 08:48:00,VPN,High,True,26
TS-30252,2022-01-09 09:36:00,Hardware,Medium,True,65
TS-30253,2022-01-09 10:24:00,Network,Low,False,42
TS-30254,2022-01-09 11:12:00,Cloud,High,True,59
TS-30255,2022-01-09 12:00:00,Database,High,True,48
TS-30256,2022-01-09 12:48:00,Software,Medium,True,85
TS-30257,2022-01-09 13:36:00,Security,Medium,True,78
TS-30258,2022-01-09 14:24:00,Security,High,True,65
TS-30259,2022-01-09 15:12:00,Cloud,Critical,True,15
TS-30260,2022-01-09 16:00:00,Software,Low,True,95
TS-30261,2022-01-09 16:48:00,Security,Medium,False,88
TS-30262,2022-01-09 17:36:00,Hardware,High,True,10
TS-30263,2022-01-09 18:24:00,Access Management,Low,True,74
TS-30264,2022-01-09 19:12:00,Cloud,Low,False,9
TS-30265,2022-01-09 20:00:00,Cloud,Medium,False,2
TS-30266,2022-01-09 20:48:00,Hardware,High,False,47
TS-30267,2022-01-09 21:36:00,Network,Medium,True,77
TS-30268,2022-01-09 22:24:00,Cloud,Critical,True,59
TS-30269,2022-01-09 23:12:00,Network,Low,True,79
TS-30270,2022-01-10 00:00:00,Software,Medium,True,8
TS-30271,2022-01-10 00:48:00,Security,Low,True,70
TS-30272,2022-01-10 01:36:00,Cloud,Low,True,18
TS-30273,2022-01-10 02:24:00,VPN,Medium,True,15
TS-30274,2022-01-10 03:12:00,Hardware,Medium,False,73
TS-30275,2022-01-10 04:00:00,Printing,Low,False,60
TS-30276,2022-01-10 04:48:00,Database,Medium,True,50
TS-30277,2022-01-10 05:36:00,Security,Critical,False,42
TS-30278,2022-01-10 06:24:00,Access Management,Low,True,10
TS-30279,2022-01-10 07:12:00,Database,Low,True,28
TS-30280,2022-01-10 08:00:00,Software,High,False,61
TS-30281,2022-01-10 08:48:00,Access Management,High,True,65
TS-30282,2022-01-10 09:36:00,Security,Medium,False,49
TS-30283,2022-01-10 10:24:00,Email,Medium,True,64
TS-30284,2022-01-10 11:12:00,Printing,Medium,False,35
TS-30285,2022-01-10 12:00:00,VPN,Low,True,93
TS-30286,2022-01-10 12:48:00,Email,Medium,True,5
TS-30287,2022-01-10 13:36:00,Cloud,Critical,True,45
TS-30288,2022-01-10 14:24:00,Cloud,Critical,True,75
TS-30289,2022-01-10 15:12:00,Software,Low,True,63
TS-30290,2022-01-10 16:00:00,Network,Critical,True,19
TS-30291,2022-01-10 16:48:00,Hardware,Low,False,34
TS-30292,2022-01-10 17:36:00,VPN,Medium,True,28
TS-30293,2022-01-10 18:24:00,VPN,Critical,True,11
TS-30294,2022-01-10 19:12:00,Database,Medium,True,13
TS-30295,2022-01-10 20:00:00,Hardware,Medium,True,10
TS-30296,2022-01-10 20:48:00,Software,Medium,True,83
TS-30297,2022-01-10 21:36:00,Hardware,Low,True,70
TS-30298,2022-01-10 22:24:00,Database,Low,True,16
TS-30299,2022-01-10 23:12:00,Printing,Medium,True,47
TS-30300,2022-01-11 00:00:00,Access Management,Low,True,75
TS-30301,2022-01-11 00:48:00,Printing,High,False,7
TS-30302,2022-01-11 01:36:00,VPN,Low,True,90
TS-30303,2022-01-11 02:24:00,Email,Low,True,1
TS-30304,2022-01-11 03:12:00,Hardware,Medium,True,52
TS-30305,2022-01-11 04:00:00,Cloud,Medium,True,53
TS-30306,2022-01-11 04:48:00,Email,Medium,True,10
TS-30307,2022-01-11 05:36:00,Email,Medium,True,6
TS-30308,2022-01-11 06:24:00,Access Management,Medium,True,22
TS-30309,2022-01-11 07:12:00,Hardware,Medium,True,47
TS-30310,2022-01-11 08:00:00,Database,Medium,False,59
TS-30311,2022-01-11 08:48:00,Access Management,High,True,13
TS-30312,2022-01-11 09:36:00,Email,Medium,True,90
TS-30313,2022-01-11 10:24:00,VPN,High,True,29
TS-30314,2022-01-11 11:12:00,Software,High,True,59
TS-30315,2022-01-11 12:00:00,Security,Medium,True,72
TS-30316,2022-01-11 12:48:00,VPN,High,True,1
TS-30317,2022-01-11 13:36:00,Software,Medium,True,22
TS-30318,2022-01-11 14:24:00,Access Management,Low,True,45
TS-30319,2022-01-11 15:12:00,Security,Low,True,93
TS-30320,2022-01-11 16:00:00,Security,Medium,True,14
TS-30321,2022-01-11 16:48:00,Software,Critical,True,8
TS-30322,2022-01-11 17:36:00,Security,Medium,True,28
TS-30323,2022-01-11 18:24:00,Access Management,Low,False,27
TS-30324,2022-01-11 19:12:00,Printing,High,True,71
TS-30325,2022-01-11 20:00:00,Software,Low,True,88
TS-30326,2022-01-11 20:48:00,Hardware,Low,True,30
TS-30327,2022-01-11 21:36:00,Network,Low,True,40
TS-30328,2022-01-11 22:24:00,Hardware,High,False,68
TS-30329,2022-01-11 23:12:00,Hardware,Medium,True,45
TS-30330,2022-01-12 00:00:00,Cloud,Medium,True,70
TS-30331,2022-01-12 00:48:00,Access Management,Medium,False,85
TS-30332,2022-01-12 01:36:00,Security,Low,False,56
TS-30333,2022-01-12 02:24:00,Access Management,Low,False,75
TS-30334,2022-01-12 03:12:00,Printing,Medium,False,61
TS-30335,2022-01-12 04:00:00,Email,Low,False,95
TS-30336,2022-01-12 04:48:00,Hardware,High,True,23
TS-30337,2022-01-12 05:36:00,Access Management,Low,True,54
TS-30338,2022-01-12 06:24:00,Access Management,Critical,True,95
TS-30339,2022-01-12 07:12:00,Cloud,Medium,True,56
TS-30340,2022-01-12 08:00:00,Printing,Medium,True,4
TS-30341,2022-01-12 08:48:00,Hardware,Medium,True,57
TS-30342,2022-01-12 09:36:00,Email,Medium,False,88
TS-30343,2022-01-12 10:24:00,Software,High,True,60
TS-30344,2022-01-12 11:12:00,Cloud,Low,True,30
TS-30345,2022-01-12 12:00:00,Software,Medium,True,83
TS-30346,2022-01-12 12:48:00,Access Management,Critical,True,56
TS-30347,2022-01-12 13:36:00,Access Management,Medium,True,60
TS-30348,2022-01-12 14:24:00,Network,Low,True,56
TS-30349,2022-01-12 15:12:00,Network,Low,False,77
TS-30350,2022-01-12 16:00:00,VPN,Medium,True,77
TS-30351,2022-01-12 16:48:00,Network,Medium,True,73
TS-30352,2022-01-12 17:36:00,Network,Low,True,42
TS-30353,2022-01-12 18:24:00,VPN,Low,True,54
TS-30354,2022-01-12 19:12:00,Cloud,High,True,37
TS-30355,2022-01-12 20:00:00,Security,Critical,True,47
TS-30356,2022-01-12 20:48:00,Database,Medium,True,31
TS-30357,2022-01-12 21:36:00,Database,Medium,True,67
TS-30358,2022-01-12 22:24:00,Printing,Low,False,19
TS-30359,2022-01-12 23:12:00,Database,Medium,False,35
TS-30360,2022-01-13 00:00:00,Software,Low,True,6
TS-30361,2022-01-13 00:48:00,VPN,Medium,True,69
TS-30362,2022-01-13 01:36:00,Hardware,Medium,True,32
TS-30363,2022-01-13 02:24:00,VPN,Medium,False,88
TS-30364,2022-01-13 03:12:00,Printing,Medium,True,41
TS-30365,2022-01-13 04:00:00,Email,Medium,True,71
TS-30366,2022-01-13 04:48:00,Network,High,True,37
TS-30367,2022-01-13 05:36:00,VPN,High,True,33
TS-30368,2022-01-13 06:24:00,Security,Medium,False,75
TS-30369,2022-01-13 07:12:00,Software,Critical,True,18
TS-30370,2022-01-13 08:00:00,Email,Medium,True,17
TS-30371,2022-01-13 08:48:00,Software,Medium,True,26
TS-30372,2022-01-13 09:36:00,Network,Critical,True,25
TS-30373,2022-01-13 10:24:00,Security,High,True,48
TS-30374,2022-01-13 11:12:00,Security,Low,False,47
TS-30375,2022-01-13 12:00:00,Database,Low,True,51
TS-30376,2022-01-13 12:48:00,Cloud,Low,True,16
TS-30377,2022-01-13 13:36:00,Cloud,Medium,True,89
TS-30378,2022-01-13 14:24:00,Security,Low,False,45
TS-30379,2022-01-13 15:12:00,Database,High,False,59
TS-30380,2022-01-13 16:00:00,Software,Medium,True,42
TS-30381,2022-01-13 16:48:00,Cloud,Critical,True,20
TS-30382,2022-01-13 17:36:00,Access Management,Low,True,92
TS-30383,2022-01-13 18:24:00,Security,Medium,True,75
TS-30384,2022-01-13 19:12:00,Software,Medium,True,73
TS-30385,2022-01-13 20:00:00,Email,High,True,1
TS-30386,2022-01-13 20:48:00,Security,Medium,False,30
TS-30387,2022-01-13 21:36:00,Email,Medium,True,38
TS-30388,2022-01-13 22:24:00,Printing,High,False,65
TS-30389,2022-01-13 23:12:00,Software,Low,True,7
TS-30390,2022-01-14 00:00:00,Security,Medium,True,81
TS-30391,2022-01-14 00:48:00,Hardware,High,False,6
TS-30392,2022-01-14 01:36:00,Network,Medium,True,22
TS-30393,2022-01-14 02:24:00,Hardware,High,True,17
TS-30394,2022-01-14 03:12:00,Software,High,True,15
TS-30395,2022-01-14 04:00:00,Hardware,High,True,57
TS-30396,2022-01-14 04:48:00,Cloud,Medium,True,31
TS-30397,2022-01-14 05:36:00,Database,High,True,96
TS-30398,2022-01-14 06:24:00,Printing,Medium,False,85
TS-30399,2022-01-14 07:12:00,Cloud,Low,True,60
TS-30400,2022-01-14 08:00:00,Email,High,False,85
TS-30401,2022-01-14 08:48:00,Security,Medium,True,39
TS-30402,2022-01-14 09:36:00,Database,Critical,False,20
TS-30403,2022-01-14 10:24:00,Printing,Low,True,14
TS-30404,2022-01-14 11:12:00,Cloud,High,True,57
TS-30405,2022-01-14 12:00:00,Hardware,Critical,True,6
TS-30406,2022-01-14 12:48:00,VPN,Critical,True,59
TS-30407,2022-01-14 13:36:00,Cloud,High,True,38
TS-30408,2022-01-14 14:24:00,Security,Medium,True,57
TS-30409,2022-01-14 15:12:00,Cloud,Low,True,55
TS-30410,2022-01-14 16:00:00,Hardware,Critical,True,39
TS-30411,2022-01-14 16:48:00,Network,Medium,True,2
TS-30412,2022-01-14 17:36:00,Access Management,Critical,True,6
TS-30413,2022-01-14 18:24:00,Network,Low,True,34
TS-30414,2022-01-14 19:12:00,VPN,Medium,True,27
TS-30415,2022-01-14 20:00:00,Security,Medium,True,10
TS-30416,2022-01-14 20:48:00,Access Management,Low,True,72
TS-30417,2022-01-14 21:36:00,VPN,Medium,True,60
TS-30418,2022-01-14 22:24:00,Security,Low,True,61
TS-30419,2022-01-14 23:12:00,Printing,Medium,True,40
TS-30420,2022-01-15 00:00:00,Security,Medium,True,2
TS-30421,2022-01-15 00:48:00,Database,Medium,True,37
TS-30422,2022-01-15 01:36:00,Software,High,True,45
TS-30423,2022-01-15 02:24:00,Access Management,Low,True,58
TS-30424,2022-01-15 03:12:00,Cloud,Medium,True,74
TS-30425,2022-01-15 04:00:00,Security,Critical,False,79
TS-30426,2022-01-15 04:48:00,Hardware,Medium,True,78
TS-30427,2022-01-15 05:36:00,Hardware,Medium,False,85
TS-30428,2022-01-15 06:24:00,Access Management,Medium,False,43
TS-30429,2022-01-15 07:12:00,Printing,Medium,False,85
TS-30430,2022-01-15 08:00:00,Database,Medium,True,39
TS-30431,2022-01-15 08:48:00,Software,Medium,True,94
TS-30432,2022-01-15 09:36:00,Email,Medium,True,46
TS-30433,2022-01-15 10:24:00,Cloud,Medium,True,14
TS-30434,2022-01-15 11:12:00,Software,Medium,True,74
TS-30435,2022-01-15 12:00:00,Network,Medium,True,75
TS-30436,2022-01-15 12:48:00,Security,Medium,True,95
TS-30437,2022-01-15 13:36:00,Cloud,Medium,True,46
TS-30438,2022-01-15 14:24:00,Security,Low,True,33
TS-30439,2022-01-15 15:12:00,Printing,Medium,True,60
TS-30440,2022-01-15 16:00:00,Database,Critical,True,72
TS-30441,2022-01-15 16:48:00,Network,Low,True,96
TS-30442,2022-01-15 17:36:00,Email,High,True,84
TS-30443,2022-01-15 18:24:00,Email,Medium,True,72
TS-30444,2022-01-15 19:12:00,Network,Critical,True,35
TS-30445,2022-01-15 20:00:00,Access Management,Medium,True,65
TS-30446,2022-01-15 20:48:00,VPN,High,True,10
TS-30447,2022-01-15 21:36:00,Database,Low,False,50
TS-30448,2022-01-15 22:24:00,Email,High,False,27
TS-30449,2022-01-15 23:12:00,Network,Medium,False,67
TS-30450,2022-01-16 00:00:00,Software,Medium,True,10
TS-30451,2022-01-16 00:48:00,Network,Medium,True,18
TS-30452,2022-01-16 01:36:00,Email,Low,False,84
TS-30453,2022-01-16 02:24:00,Network,Medium,True,74
TS-30454,2022-01-16 03:12:00,Access Management,Medium,True,68
TS-30455,2022-01-16 04:00:00,Database,Low,True,35
TS-30456,2022-01-16 04:48:00,Access Management,Medium,False,91
TS-30457,2022-01-16 05:36:00,Security,Medium,True,2
TS-30458,2022-01-16 06:24:00,Security,Medium,True,35
TS-30459,2022-01-16 07:12:00,Printing,Critical,True,17
TS-30460,2022-01-16 08:00:00,Hardware,Medium,True,55
TS-30461,2022-01-16 08:48:00,Network,Medium,True,24
