ticket_id,text_clean,text_length,word_count,hour_of_day,day_of_week,is_weekend,is_business_hours,category,category_encoded,source_dataset
TKT-10165,laptop turning reported laptop turning department impact single,97,8,20,6,1,0,Hardware,4,classifier_v3
TKT-10166,monitor flickering reported monitor flickering department hr impact company wide configuration updated verified working,135,14,12,2,0,1,Hardware,4,classifier_v3
TKT-10167,account locked out reported account locked out department legal impact single software reinstalled patched latest version,145,16,18,3,0,1,Security,7,classifier_v3
TKT-10168,monitor flickering reported monitor flickering department hr impact multiple users issue resolved restarting service,135,14,20,1,0,0,Hardware,4,classifier_v3
TKT-10169,vpn slow performance reported vpn slow performance department legal impact company wide,99,12,3,5,1,0,VPN,9,classifier_v3
TKT-10170,new employee onboarding reported new employee onboarding department engineering impact company wide,111,12,17,2,0,1,Access Management,0,classifier_v3
TKT-10171,access system needed reported access system needed department operations impact single,109,11,12,4,0,1,Access Management,0,classifier_v3
TKT-10172,printer jam reported printer jam department engineering impact multiple users third party vendor engaged resolution,131,15,2,5,1,0,Hardware,4,classifier_v3
TKT-10173,cannot connect database reported cannot connect database department operations impact company wide third party vendor engaged resolution,158,17,19,0,0,0,Database,2,classifier_v3
TKT-10174,mouse responding reported mouse responding department hr impact single,95,9,14,4,0,1,Hardware,4,classifier_v3
TKT-10175,cannot send large attachments reported cannot send large attachments department impact single workaround provided while permanent fix pending,164,18,22,3,0,0,Email,3,classifier_v3
TKT-10176,database backup failed reported database backup failed department engineering impact multiple users,111,12,2,3,0,0,Database,2,classifier_v3
TKT-10177,application crashes startup reported application crashes startup department legal impact company wide escalated l2 support further investigation,169,17,11,2,0,1,Software,8,classifier_v3
TKT-10178,license expired reported license expired department operations impact single,93,9,6,1,0,0,Software,8,classifier_v3
TKT-10179,new employee onboarding reported new employee onboarding department engineering impact department wide,114,12,20,0,0,0,Access Management,0,classifier_v3
TKT-10180,new employee onboarding reported new employee onboarding department legal impact multiple users hardware replaced under warranty,140,16,17,0,0,1,Access Management,0,classifier_v3
TKT-10181,new employee onboarding reported new employee onboarding department sales impact single,104,11,0,5,1,0,Access Management,0,classifier_v3
TKT-10182,driver installation failed reported driver installation failed department legal impact multiple users,113,12,1,4,0,0,Printing,6,classifier_v3
TKT-10183,role change request reported role change request department legal impact department wide,100,12,5,1,0,0,Access Management,0,classifier_v3
TKT-10184,calendar invites working reported calendar invites working department finance impact department wide issue error provided training,160,16,8,6,1,1,Email,3,classifier_v3
TKT-10185,paper jammed reported paper jammed department engineering impact single third party vendor engaged resolution,130,14,8,4,0,1,Printing,6,classifier_v3
TKT-10186,docker container crash reported docker container crash department legal impact company wide,103,12,1,6,1,0,Cloud,1,classifier_v3
TKT-10187,possible malware detected reported possible malware detected department finance impact multiple users software reinstalled patched latest version,164,17,12,0,0,1,Security,7,classifier_v3
TKT-10188,software update failed reported software update failed department operations impact single issue error provided training,147,15,4,5,1,0,Software,8,classifier_v3
TKT-10189,access system needed reported access system needed department sales impact multiple users,107,12,8,2,0,1,Access Management,0,classifier_v3
TKT-10190,email bouncing back reported email bouncing back department engineering impact department wide,106,12,11,0,0,1,Email,3,classifier_v3
TKT-10191,spam filter too aggressive reported spam filter too aggressive department hr impact department wide,111,14,18,1,0,1,Email,3,classifier_v3
TKT-10192,monitor flickering reported monitor flickering department impact department wide,95,9,9,2,0,1,Hardware,4,classifier_v3
TKT-10193,cannot connect internet reported cannot connect internet department finance impact company wide issue error provided training,153,16,18,4,0,1,Network,5,classifier_v3
TKT-10194,cannot connect database reported cannot connect database department engineering impact single,116,11,13,1,0,1,Database,2,classifier_v3
TKT-10195,software update failed reported software update failed department engineering impact department wide,112,12,6,0,0,0,Software,8,classifier_v3
TKT-10196,two factor auth working reported two factor auth working department hr impact single hardware replaced under warranty,142,17,8,6,1,1,VPN,9,classifier_v3
TKT-10197,remote access denied reported remote access denied department finance impact multiple users third party vendor engaged resolution,145,17,10,1,0,1,VPN,9,classifier_v3
TKT-10198,vpn working reported vpn working department sales impact single,88,9,23,0,0,0,Network,5,classifier_v3
TKT-10199,split tunnel configuration reported split tunnel configuration department impact company wide credentials reset access restored,151,15,7,4,0,0,VPN,9,classifier_v3
TKT-10200,cannot send large attachments reported cannot send large attachments department sales impact company wide hardware replaced under warranty,150,18,4,3,0,0,Email,3,classifier_v3
TKT-10201,paper jammed reported paper jammed department sales impact single,82,9,9,2,0,1,Printing,6,classifier_v3
TKT-10202,vpn slow performance reported vpn slow performance department impact company wide,96,11,23,2,0,0,VPN,9,classifier_v3
TKT-10203,slow network speed reported slow network speed department finance impact company wide network settings reconfigured,127,15,9,3,0,1,Network,5,classifier_v3
TKT-10204,calendar invites working reported calendar invites working department engineering impact company wide issue resolved restarting service,162,16,4,1,0,0,Email,3,classifier_v3
TKT-10205,wifi drops frequently reported wifi drops frequently department engineering impact single software reinstalled patched latest version,157,16,6,3,0,0,Network,5,classifier_v3
TKT-10206,cannot find printer network reported cannot find printer network department operations impact single credentials reset access restored,166,17,9,0,0,1,Printing,6,classifier_v3
TKT-10207,email bouncing back reported email bouncing back department engineering impact multiple users,105,12,13,0,0,1,Email,3,classifier_v3
TKT-10208,spam filter too aggressive reported spam filter too aggressive department sales impact single software reinstalled patched latest version,161,18,12,5,1,1,Email,3,classifier_v3
TKT-10209,keyboard working reported keyboard working department sales impact multiple users software reinstalled patched latest version,152,15,18,3,0,1,Hardware,4,classifier_v3
TKT-10210,calendar invites working reported calendar invites working department engineering impact company wide hardware replaced under warranty,154,16,13,6,1,1,Email,3,classifier_v3
TKT-10211,license expired reported license expired department hr impact department wide,89,10,5,6,1,0,Software,8,classifier_v3
TKT-10212,access denied table reported access denied table department operations impact multiple users,110,12,9,3,0,1,Database,2,classifier_v3
TKT-10213,cannot install software reported cannot install software department legal impact single,104,11,13,0,0,1,Software,8,classifier_v3
TKT-10214,split tunnel configuration reported split tunnel configuration department sales impact company wide,111,12,15,0,0,1,VPN,9,classifier_v3
TKT-10215,cannot access shared drive reported cannot access shared drive department engineering impact single,116,13,21,6,1,0,Network,5,classifier_v3
TKT-10216,printer jam reported printer jam department engineering impact department wide,90,10,22,4,0,0,Hardware,4,classifier_v3
TKT-10217,error code 0x80070057 reported error code 0x80070057 department impact department wide issue resolved restarting service,142,15,20,6,1,0,Software,8,classifier_v3
TKT-10218,laptop turning reported laptop turning department operations impact multiple users issue resolved restarting service,149,14,11,1,0,1,Hardware,4,classifier_v3
TKT-10219,sso working reported sso working department finance impact single issue error provided training,130,13,6,4,0,0,Access Management,0,classifier_v3
TKT-10220,spam filter too aggressive reported spam filter too aggressive department impact single issue error provided training,147,16,13,4,0,1,Email,3,classifier_v3
TKT-10221,keyboard working reported keyboard working department impact multiple users,98,9,11,2,0,1,Hardware,4,classifier_v3
TKT-10222,cannot connect internet reported cannot connect internet department engineering impact single,116,11,11,1,0,1,Network,5,classifier_v3
TKT-10223,data corruption detected reported data corruption detected department engineering impact single issue error provided training,152,15,20,2,0,0,Database,2,classifier_v3
TKT-10224,kubernetes pod failing reported kubernetes pod failing department impact company wide hardware replaced under warranty,133,15,9,0,0,1,Cloud,1,classifier_v3
TKT-10225,driver installation failed reported driver installation failed department hr impact single workaround provided while permanent fix pending,158,17,23,2,0,0,Printing,6,classifier_v3
TKT-10226,azure storage quota exceeded reported azure storage quota exceeded department operations impact multiple users,122,14,0,4,0,0,Cloud,1,classifier_v3
TKT-10227,split tunnel configuration reported split tunnel configuration department impact single hardware replaced under warranty,140,14,4,0,0,0,VPN,9,classifier_v3
TKT-10228,vpn working reported vpn working department engineering impact company wide credentials reset access restored,138,14,23,1,0,0,Network,5,classifier_v3
TKT-10229,cannot find printer network reported cannot find printer network department impact department wide escalated l2 support further investigation,169,18,8,5,1,1,Printing,6,classifier_v3
TKT-10230,aws instance responding reported aws instance responding department operations impact multiple users issue resolved restarting service,161,16,22,5,1,0,Cloud,1,classifier_v3
