ticket_id,text_clean,language,category,category_encoded
ML-20055,bildschirm defekt bildschirm defekt ticket submitted de category email priority escalated,de,Email,3
ML-20056,tela quebrada tela quebrada ticket submitted pt category email priority escalated,pt,Email,3
ML-20057,redefinir senha redefinir senha ticket submitted pt category network priority escalated,pt,Network,5
ML-20058,toegang tot software nodig toegang tot software nodig ticket submitted nl category vpn priority escalated,nl,VPN,9
ML-20059,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category software priority escalated,fr,Software,8
ML-20060,bildschirm defekt bildschirm defekt ticket submitted de category vpn priority escalated,de,VPN,9
ML-20061,syst me en panne syst me en panne ticket submitted fr category hardware priority escalated,fr,Hardware,4
ML-20062,systeem down systeem down ticket submitted nl category cloud priority escalated,nl,Cloud,1
ML-20063,systeem down systeem down ticket submitted nl category vpn priority escalated,nl,VPN,9
ML-20064,bildschirm defekt bildschirm defekt ticket submitted de category hardware priority escalated,de,Hardware,4
ML-20065,no puedo iniciar sesi no puedo iniciar sesi ticket submitted es category access management priority escalated,es,Access Management,0
ML-20066,bildschirm defekt bildschirm defekt ticket submitted de category software priority escalated,de,Software,8
ML-20067,tela quebrada tela quebrada ticket submitted pt category database priority escalated,pt,Database,2
ML-20068,syst me en panne syst me en panne ticket submitted fr category access management priority escalated,fr,Access Management,0
ML-20069,syst me en panne syst me en panne ticket submitted fr category security priority escalated,fr,Security,7
ML-20070,cran cass cran cass ticket submitted fr category cloud priority escalated,fr,Cloud,1
ML-20071,sistema fora ar sistema fora ar ticket submitted pt category hardware priority escalated,pt,Hardware,4
ML-20072,pantalla rota pantalla rota ticket submitted es category hardware priority escalated,es,Hardware,4
ML-20073,sistema fora ar sistema fora ar ticket submitted pt category email priority escalated,pt,Email,3
ML-20074,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category hardware priority escalated,fr,Hardware,4
ML-20075,tela quebrada tela quebrada ticket submitted pt category printing priority escalated,pt,Printing,6
ML-20076,pantalla rota pantalla rota ticket submitted es category email priority escalated,es,Email,3
ML-20077,sistema fora ar sistema fora ar ticket submitted pt category cloud priority escalated,pt,Cloud,1
ML-20078,redefinir senha redefinir senha ticket submitted pt category hardware priority escalated,pt,Hardware,4
ML-20080,system ausgefallen system ausgefallen ticket submitted de category cloud priority escalated,de,Cloud,1
ML-20081,syst me en panne syst me en panne ticket submitted fr category access management priority escalated,fr,Access Management,0
ML-20082,kan niet inloggen kan niet inloggen ticket submitted nl category access management priority escalated,nl,Access Management,0
ML-20083,necesito acceso al software necesito acceso al software ticket submitted es category access management priority escalated,es,Access Management,0
ML-20084,kann mich nicht anmelden kann mich nicht anmelden ticket submitted de category access management priority escalated,de,Access Management,0
ML-20085,restablecer contrase restablecer contrase ticket submitted es category cloud priority escalated,es,Cloud,1
ML-20086,toegang tot software nodig toegang tot software nodig ticket submitted nl category access management priority escalated,nl,Access Management,0
ML-20087,passwort zur cksetzen passwort zur cksetzen ticket submitted de category hardware priority escalated,de,Hardware,4
ML-20088,bildschirm defekt bildschirm defekt ticket submitted de category cloud priority escalated,de,Cloud,1
ML-20089,toegang tot software nodig toegang tot software nodig ticket submitted nl category database priority escalated,nl,Database,2
ML-20090,system ausgefallen system ausgefallen ticket submitted de category security priority escalated,de,Security,7
ML-20092,restablecer contrase restablecer contrase ticket submitted es category printing priority escalated,es,Printing,6
ML-20093,scherm kapot scherm kapot ticket submitted nl category database priority escalated,nl,Database,2
ML-20095,syst me en panne syst me en panne ticket submitted fr category cloud priority escalated,fr,Cloud,1
ML-20096,consigo fazer login consigo fazer login ticket submitted pt category network priority escalated,pt,Network,5
ML-20097,besoin acc logiciel besoin acc logiciel ticket submitted fr category software priority escalated,fr,Software,8
ML-20098,restablecer contrase restablecer contrase ticket submitted es category printing priority escalated,es,Printing,6
ML-20099,besoin acc logiciel besoin acc logiciel ticket submitted fr category database priority escalated,fr,Database,2
ML-20100,wachtwoord resetten wachtwoord resetten ticket submitted nl category hardware priority escalated,nl,Hardware,4
ML-20101,kann mich nicht anmelden kann mich nicht anmelden ticket submitted de category cloud priority escalated,de,Cloud,1
ML-20102,restablecer contrase restablecer contrase ticket submitted es category vpn priority escalated,es,VPN,9
ML-20103,kan niet inloggen kan niet inloggen ticket submitted nl category database priority escalated,nl,Database,2
ML-20104,scherm kapot scherm kapot ticket submitted nl category access management priority escalated,nl,Access Management,0
ML-20106,redefinir senha redefinir senha ticket submitted pt category network priority escalated,pt,Network,5
ML-20107,toegang tot software nodig toegang tot software nodig ticket submitted nl category database priority escalated,nl,Database,2
ML-20109,system ausgefallen system ausgefallen ticket submitted de category email priority escalated,de,Email,3
ML-20110,redefinir senha redefinir senha ticket submitted pt category security priority escalated,pt,Security,7
ML-20111,systeem down systeem down ticket submitted nl category email priority escalated,nl,Email,3
ML-20112,cran cass cran cass ticket submitted fr category network priority escalated,fr,Network,5
ML-20113,kan niet inloggen kan niet inloggen ticket submitted nl category email priority escalated,nl,Email,3
ML-20114,restablecer contrase restablecer contrase ticket submitted es category software priority escalated,es,Software,8
ML-20115,system ausgefallen system ausgefallen ticket submitted de category database priority escalated,de,Database,2
ML-20116,cran cass cran cass ticket submitted fr category vpn priority escalated,fr,VPN,9
ML-20117,consigo fazer login consigo fazer login ticket submitted pt category access management priority escalated,pt,Access Management,0
ML-20118,necesito acceso al software necesito acceso al software ticket submitted es category security priority escalated,es,Security,7
ML-20119,sistema fora ar sistema fora ar ticket submitted pt category cloud priority escalated,pt,Cloud,1
ML-20121,impossible de se connecter impossible de se connecter ticket submitted fr category vpn priority escalated,fr,VPN,9
ML-20122,systeem down systeem down ticket submitted nl category database priority escalated,nl,Database,2
ML-20123,restablecer contrase restablecer contrase ticket submitted es category vpn priority escalated,es,VPN,9
ML-20124,passwort zur cksetzen passwort zur cksetzen ticket submitted de category software priority escalated,de,Software,8
ML-20125,passwort zur cksetzen passwort zur cksetzen ticket submitted de category vpn priority escalated,de,VPN,9
ML-20126,consigo fazer login consigo fazer login ticket submitted pt category database priority escalated,pt,Database,2
ML-20127,no puedo iniciar sesi no puedo iniciar sesi ticket submitted es category email priority escalated,es,Email,3
ML-20128,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category email priority escalated,fr,Email,3
ML-20129,impossible de se connecter impossible de se connecter ticket submitted fr category network priority escalated,fr,Network,5
ML-20130,pantalla rota pantalla rota ticket submitted es category email priority escalated,es,Email,3
ML-20131,consigo fazer login consigo fazer login ticket submitted pt category access management priority escalated,pt,Access Management,0
ML-20132,no puedo iniciar sesi no puedo iniciar sesi ticket submitted es category printing priority escalated,es,Printing,6
ML-20133,redefinir senha redefinir senha ticket submitted pt category access management priority escalated,pt,Access Management,0
ML-20134,besoin acc logiciel besoin acc logiciel ticket submitted fr category security priority escalated,fr,Security,7
ML-20135,kan niet inloggen kan niet inloggen ticket submitted nl category access management priority escalated,nl,Access Management,0
ML-20137,toegang tot software nodig toegang tot software nodig ticket submitted nl category database priority escalated,nl,Database,2
ML-20138,preciso de acesso ao software preciso de acesso ao software ticket submitted pt category database priority escalated,pt,Database,2
ML-20139,pantalla rota pantalla rota ticket submitted es category cloud priority escalated,es,Cloud,1
ML-20141,software zugriff ben tigt software zugriff ben tigt ticket submitted de category database priority escalated,de,Database,2
ML-20143,besoin acc logiciel besoin acc logiciel ticket submitted fr category vpn priority escalated,fr,VPN,9
ML-20144,consigo fazer login consigo fazer login ticket submitted pt category database priority escalated,pt,Database,2
ML-20145,toegang tot software nodig toegang tot software nodig ticket submitted nl category email priority escalated,nl,Email,3
ML-20146,besoin acc logiciel besoin acc logiciel ticket submitted fr category cloud priority escalated,fr,Cloud,1
ML-20147,passwort zur cksetzen passwort zur cksetzen ticket submitted de category security priority escalated,de,Security,7
ML-20148,redefinir senha redefinir senha ticket submitted pt category database priority escalated,pt,Database,2
ML-20149,cran cass cran cass ticket submitted fr category access management priority escalated,fr,Access Management,0
ML-20150,pantalla rota pantalla rota ticket submitted es category security priority escalated,es,Security,7
ML-20151,wachtwoord resetten wachtwoord resetten ticket submitted nl category network priority escalated,nl,Network,5
ML-20152,system ausgefallen system ausgefallen ticket submitted de category database priority escalated,de,Database,2
ML-20154,redefinir senha redefinir senha ticket submitted pt category security priority escalated,pt,Security,7
ML-20155,necesito acceso al software necesito acceso al software ticket submitted es category email priority escalated,es,Email,3
ML-20156,cran cass cran cass ticket submitted fr category email priority escalated,fr,Email,3
ML-20157,system ausgefallen system ausgefallen ticket submitted de category cloud priority escalated,de,Cloud,1
ML-20158,systeem down systeem down ticket submitted nl category network priority escalated,nl,Network,5
ML-20159,consigo fazer login consigo fazer login ticket submitted pt category network priority escalated,pt,Network,5
ML-20160,kann mich nicht anmelden kann mich nicht anmelden ticket submitted de category access management priority escalated,de,Access Management,0
ML-20161,impossible de se connecter impossible de se connecter ticket submitted fr category network priority escalated,fr,Network,5
ML-20162,system ausgefallen system ausgefallen ticket submitted de category vpn priority escalated,de,VPN,9
ML-20163,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category email priority escalated,fr,Email,3
ML-20164,cran cass cran cass ticket submitted fr category cloud priority escalated,fr,Cloud,1
ML-20165,preciso de acesso ao software preciso de acesso ao software ticket submitted pt category software priority escalated,pt,Software,8
ML-20166,syst me en panne syst me en panne ticket submitted fr category database priority escalated,fr,Database,2
ML-20167,consigo fazer login consigo fazer login ticket submitted pt category hardware priority escalated,pt,Hardware,4
ML-20168,no puedo iniciar sesi no puedo iniciar sesi ticket submitted es category security priority escalated,es,Security,7
ML-20169,restablecer contrase restablecer contrase ticket submitted es category email priority escalated,es,Email,3
ML-20170,no puedo iniciar sesi no puedo iniciar sesi ticket submitted es category hardware priority escalated,es,Hardware,4
ML-20171,restablecer contrase restablecer contrase ticket submitted es category printing priority escalated,es,Printing,6
ML-20172,kan niet inloggen kan niet inloggen ticket submitted nl category network priority escalated,nl,Network,5
ML-20173,system ausgefallen system ausgefallen ticket submitted de category software priority escalated,de,Software,8
ML-20174,restablecer contrase restablecer contrase ticket submitted es category security priority escalated,es,Security,7
ML-20175,wachtwoord resetten wachtwoord resetten ticket submitted nl category database priority escalated,nl,Database,2
ML-20176,scherm kapot scherm kapot ticket submitted nl category hardware priority escalated,nl,Hardware,4
ML-20177,pantalla rota pantalla rota ticket submitted es category email priority escalated,es,Email,3
ML-20178,cran cass cran cass ticket submitted fr category cloud priority escalated,fr,Cloud,1
ML-20180,no puedo iniciar sesi no puedo iniciar sesi ticket submitted es category network priority escalated,es,Network,5
ML-20181,systeem down systeem down ticket submitted nl category printing priority escalated,nl,Printing,6
ML-20182,scherm kapot scherm kapot ticket submitted nl category database priority escalated,nl,Database,2
ML-20183,consigo fazer login consigo fazer login ticket submitted pt category email priority escalated,pt,Email,3
ML-20184,restablecer contrase restablecer contrase ticket submitted es category hardware priority escalated,es,Hardware,4
ML-20186,consigo fazer login consigo fazer login ticket submitted pt category hardware priority escalated,pt,Hardware,4
ML-20188,consigo fazer login consigo fazer login ticket submitted pt category software priority escalated,pt,Software,8
ML-20189,sistema fora ar sistema fora ar ticket submitted pt category security priority escalated,pt,Security,7
ML-20190,toegang tot software nodig toegang tot software nodig ticket submitted nl category email priority escalated,nl,Email,3
ML-20191,system ausgefallen system ausgefallen ticket submitted de category vpn priority escalated,de,VPN,9
ML-20192,kan niet inloggen kan niet inloggen ticket submitted nl category vpn priority escalated,nl,VPN,9
ML-20193,wachtwoord resetten wachtwoord resetten ticket submitted nl category vpn priority escalated,nl,VPN,9
ML-20194,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category hardware priority escalated,fr,Hardware,4
ML-20195,kan niet inloggen kan niet inloggen ticket submitted nl category printing priority escalated,nl,Printing,6
ML-20196,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category access management priority escalated,fr,Access Management,0
ML-20197,necesito acceso al software necesito acceso al software ticket submitted es category printing priority escalated,es,Printing,6
ML-20198,bildschirm defekt bildschirm defekt ticket submitted de category database priority escalated,de,Database,2
ML-20200,besoin acc logiciel besoin acc logiciel ticket submitted fr category software priority escalated,fr,Software,8
ML-20201,system ausgefallen system ausgefallen ticket submitted de category network priority escalated,de,Network,5
ML-20202,scherm kapot scherm kapot ticket submitted nl category network priority escalated,nl,Network,5
ML-20203,sistema ca sistema ca ticket submitted es category email priority escalated,es,Email,3
ML-20204,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category vpn priority escalated,fr,VPN,9
ML-20205,pantalla rota pantalla rota ticket submitted es category cloud priority escalated,es,Cloud,1
ML-20206,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category printing priority escalated,fr,Printing,6
ML-20207,no puedo iniciar sesi no puedo iniciar sesi ticket submitted es category security priority escalated,es,Security,7
ML-20209,preciso de acesso ao software preciso de acesso ao software ticket submitted pt category cloud priority escalated,pt,Cloud,1
ML-20210,consigo fazer login consigo fazer login ticket submitted pt category hardware priority escalated,pt,Hardware,4
ML-20211,toegang tot software nodig toegang tot software nodig ticket submitted nl category vpn priority escalated,nl,VPN,9
ML-20213,sistema ca sistema ca ticket submitted es category cloud priority escalated,es,Cloud,1
ML-20214,tela quebrada tela quebrada ticket submitted pt category vpn priority escalated,pt,VPN,9
ML-20215,software zugriff ben tigt software zugriff ben tigt ticket submitted de category network priority escalated,de,Network,5
ML-20216,pantalla rota pantalla rota ticket submitted es category vpn priority escalated,es,VPN,9
ML-20217,tela quebrada tela quebrada ticket submitted pt category printing priority escalated,pt,Printing,6
ML-20218,wachtwoord resetten wachtwoord resetten ticket submitted nl category email priority escalated,nl,Email,3
ML-20220,scherm kapot scherm kapot ticket submitted nl category database priority escalated,nl,Database,2
ML-20221,scherm kapot scherm kapot ticket submitted nl category software priority escalated,nl,Software,8
ML-20223,pantalla rota pantalla rota ticket submitted es category security priority escalated,es,Security,7
ML-20224,syst me en panne syst me en panne ticket submitted fr category printing priority escalated,fr,Printing,6
ML-20225,preciso de acesso ao software preciso de acesso ao software ticket submitted pt category vpn priority escalated,pt,VPN,9
ML-20226,kan niet inloggen kan niet inloggen ticket submitted nl category security priority escalated,nl,Security,7
ML-20227,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category security priority escalated,fr,Security,7
ML-20228,redefinir senha redefinir senha ticket submitted pt category network priority escalated,pt,Network,5
ML-20230,passwort zur cksetzen passwort zur cksetzen ticket submitted de category security priority escalated,de,Security,7
ML-20231,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category vpn priority escalated,fr,VPN,9
ML-20232,pantalla rota pantalla rota ticket submitted es category access management priority escalated,es,Access Management,0
ML-20233,consigo fazer login consigo fazer login ticket submitted pt category security priority escalated,pt,Security,7
ML-20234,software zugriff ben tigt software zugriff ben tigt ticket submitted de category access management priority escalated,de,Access Management,0
ML-20235,kann mich nicht anmelden kann mich nicht anmelden ticket submitted de category network priority escalated,de,Network,5
ML-20236,no puedo iniciar sesi no puedo iniciar sesi ticket submitted es category access management priority escalated,es,Access Management,0
ML-20237,impossible de se connecter impossible de se connecter ticket submitted fr category database priority escalated,fr,Database,2
ML-20238,restablecer contrase restablecer contrase ticket submitted es category email priority escalated,es,Email,3
ML-20239,systeem down systeem down ticket submitted nl category network priority escalated,nl,Network,5
ML-20240,redefinir senha redefinir senha ticket submitted pt category email priority escalated,pt,Email,3
ML-20241,toegang tot software nodig toegang tot software nodig ticket submitted nl category software priority escalated,nl,Software,8
ML-20243,sistema fora ar sistema fora ar ticket submitted pt category security priority escalated,pt,Security,7
ML-20244,preciso de acesso ao software preciso de acesso ao software ticket submitted pt category database priority escalated,pt,Database,2
ML-20245,necesito acceso al software necesito acceso al software ticket submitted es category network priority escalated,es,Network,5
ML-20246,software zugriff ben tigt software zugriff ben tigt ticket submitted de category cloud priority escalated,de,Cloud,1
ML-20247,systeem down systeem down ticket submitted nl category cloud priority escalated,nl,Cloud,1
ML-20249,preciso de acesso ao software preciso de acesso ao software ticket submitted pt category security priority escalated,pt,Security,7
ML-20250,kan niet inloggen kan niet inloggen ticket submitted nl category email priority escalated,nl,Email,3
ML-20251,software zugriff ben tigt software zugriff ben tigt ticket submitted de category database priority escalated,de,Database,2
ML-20252,kan niet inloggen kan niet inloggen ticket submitted nl category vpn priority escalated,nl,VPN,9
ML-20253,impossible de se connecter impossible de se connecter ticket submitted fr category vpn priority escalated,fr,VPN,9
ML-20254,restablecer contrase restablecer contrase ticket submitted es category security priority escalated,es,Security,7
ML-20255,consigo fazer login consigo fazer login ticket submitted pt category cloud priority escalated,pt,Cloud,1
ML-20256,redefinir senha redefinir senha ticket submitted pt category access management priority escalated,pt,Access Management,0
ML-20257,pantalla rota pantalla rota ticket submitted es category network priority escalated,es,Network,5
ML-20258,toegang tot software nodig toegang tot software nodig ticket submitted nl category security priority escalated,nl,Security,7
ML-20259,besoin acc logiciel besoin acc logiciel ticket submitted fr category hardware priority escalated,fr,Hardware,4
ML-20260,systeem down systeem down ticket submitted nl category printing priority escalated,nl,Printing,6
ML-20261,systeem down systeem down ticket submitted nl category vpn priority escalated,nl,VPN,9
ML-20262,sistema fora ar sistema fora ar ticket submitted pt category printing priority escalated,pt,Printing,6
ML-20263,syst me en panne syst me en panne ticket submitted fr category email priority escalated,fr,Email,3
ML-20264,syst me en panne syst me en panne ticket submitted fr category database priority escalated,fr,Database,2
ML-20265,redefinir senha redefinir senha ticket submitted pt category database priority escalated,pt,Database,2
ML-20266,systeem down systeem down ticket submitted nl category printing priority escalated,nl,Printing,6
ML-20267,sistema fora ar sistema fora ar ticket submitted pt category security priority escalated,pt,Security,7
ML-20268,wachtwoord resetten wachtwoord resetten ticket submitted nl category access management priority escalated,nl,Access Management,0
ML-20269,pantalla rota pantalla rota ticket submitted es category cloud priority escalated,es,Cloud,1
ML-20270,cran cass cran cass ticket submitted fr category hardware priority escalated,fr,Hardware,4
ML-20271,impossible de se connecter impossible de se connecter ticket submitted fr category email priority escalated,fr,Email,3
ML-20272,kan niet inloggen kan niet inloggen ticket submitted nl category database priority escalated,nl,Database,2
ML-20273,consigo fazer login consigo fazer login ticket submitted pt category database priority escalated,pt,Database,2
ML-20274,kann mich nicht anmelden kann mich nicht anmelden ticket submitted de category network priority escalated,de,Network,5
ML-20275,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category database priority escalated,fr,Database,2
ML-20276,systeem down systeem down ticket submitted nl category database priority escalated,nl,Database,2
ML-20278,wachtwoord resetten wachtwoord resetten ticket submitted nl category database priority escalated,nl,Database,2
ML-20281,toegang tot software nodig toegang tot software nodig ticket submitted nl category hardware priority escalated,nl,Hardware,4
ML-20282,scherm kapot scherm kapot ticket submitted nl category email priority escalated,nl,Email,3
ML-20283,toegang tot software nodig toegang tot software nodig ticket submitted nl category cloud priority escalated,nl,Cloud,1
ML-20284,software zugriff ben tigt software zugriff ben tigt ticket submitted de category network priority escalated,de,Network,5
ML-20285,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category software priority escalated,fr,Software,8
ML-20287,impossible de se connecter impossible de se connecter ticket submitted fr category email priority escalated,fr,Email,3
ML-20288,redefinir senha redefinir senha ticket submitted pt category cloud priority escalated,pt,Cloud,1
ML-20289,scherm kapot scherm kapot ticket submitted nl category email priority escalated,nl,Email,3
ML-20290,toegang tot software nodig toegang tot software nodig ticket submitted nl category security priority escalated,nl,Security,7
ML-20291,restablecer contrase restablecer contrase ticket submitted es category access management priority escalated,es,Access Management,0
ML-20292,consigo fazer login consigo fazer login ticket submitted pt category cloud priority escalated,pt,Cloud,1
ML-20293,impossible de se connecter impossible de se connecter ticket submitted fr category software priority escalated,fr,Software,8
ML-20294,tela quebrada tela quebrada ticket submitted pt category printing priority escalated,pt,Printing,6
ML-20295,scherm kapot scherm kapot ticket submitted nl category security priority escalated,nl,Security,7
ML-20296,sistema fora ar sistema fora ar ticket submitted pt category software priority escalated,pt,Software,8
ML-20297,wachtwoord resetten wachtwoord resetten ticket submitted nl category printing priority escalated,nl,Printing,6
ML-20298,syst me en panne syst me en panne ticket submitted fr category security priority escalated,fr,Security,7
ML-20299,redefinir senha redefinir senha ticket submitted pt category security priority escalated,pt,Security,7
ML-20300,bildschirm defekt bildschirm defekt ticket submitted de category cloud priority escalated,de,Cloud,1
ML-20301,preciso de acesso ao software preciso de acesso ao software ticket submitted pt category database priority escalated,pt,Database,2
ML-20302,scherm kapot scherm kapot ticket submitted nl category hardware priority escalated,nl,Hardware,4
ML-20303,scherm kapot scherm kapot ticket submitted nl category email priority escalated,nl,Email,3
ML-20304,restablecer contrase restablecer contrase ticket submitted es category access management priority escalated,es,Access Management,0
ML-20306,scherm kapot scherm kapot ticket submitted nl category email priority escalated,nl,Email,3
ML-20307,syst me en panne syst me en panne ticket submitted fr category access management priority escalated,fr,Access Management,0
ML-20308,systeem down systeem down ticket submitted nl category hardware priority escalated,nl,Hardware,4
ML-20309,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category network priority escalated,fr,Network,5
ML-20310,no puedo iniciar sesi no puedo iniciar sesi ticket submitted es category vpn priority escalated,es,VPN,9
ML-20311,kan niet inloggen kan niet inloggen ticket submitted nl category hardware priority escalated,nl,Hardware,4
ML-20313,impossible de se connecter impossible de se connecter ticket submitted fr category email priority escalated,fr,Email,3
ML-20314,toegang tot software nodig toegang tot software nodig ticket submitted nl category access management priority escalated,nl,Access Management,0
ML-20315,syst me en panne syst me en panne ticket submitted fr category database priority escalated,fr,Database,2
ML-20316,no puedo iniciar sesi no puedo iniciar sesi ticket submitted es category cloud priority escalated,es,Cloud,1
ML-20317,software zugriff ben tigt software zugriff ben tigt ticket submitted de category email priority escalated,de,Email,3
ML-20318,software zugriff ben tigt software zugriff ben tigt ticket submitted de category vpn priority escalated,de,VPN,9
ML-20319,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category email priority escalated,fr,Email,3
ML-20320,kann mich nicht anmelden kann mich nicht anmelden ticket submitted de category database priority escalated,de,Database,2
ML-20321,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category access management priority escalated,fr,Access Management,0
ML-20322,software zugriff ben tigt software zugriff ben tigt ticket submitted de category vpn priority escalated,de,VPN,9
ML-20324,impossible de se connecter impossible de se connecter ticket submitted fr category database priority escalated,fr,Database,2
ML-20325,passwort zur cksetzen passwort zur cksetzen ticket submitted de category vpn priority escalated,de,VPN,9
ML-20326,initialiser le mot de passe initialiser le mot de passe ticket submitted fr category printing priority escalated,fr,Printing,6
ML-20327,no puedo iniciar sesi no puedo iniciar sesi ticket submitted es category network priority escalated,es,Network,5
ML-20328,necesito acceso al software necesito acceso al software ticket submitted es category vpn priority escalated,es,VPN,9
ML-20330,restablecer contrase restablecer contrase ticket submitted es category printing priority escalated,es,Printing,6
ML-20331,passwort zur cksetzen passwort zur cksetzen ticket submitted de category network priority escalated,de,Network,5
ML-20333,cran cass cran cass ticket submitted fr category printing priority escalated,fr,Printing,6
ML-20335,cran cass cran cass ticket submitted fr category security priority escalated,fr,Security,7
ML-20336,kan niet inloggen kan niet inloggen ticket submitted nl category software priority escalated,nl,Software,8
ML-20337,toegang tot software nodig toegang tot software nodig ticket submitted nl category vpn priority escalated,nl,VPN,9
ML-20339,cran cass cran cass ticket submitted fr category database priority escalated,fr,Database,2
ML-20341,no puedo iniciar sesi no puedo iniciar sesi ticket submitted es category software priority escalated,es,Software,8
