ticket_id,category_encoded,priority_numeric,text_length,word_count,hour_of_day,day_of_week,is_weekend,is_business_hours,resolution_hours,sla_target_hours,sla_risk
TKT-10044,0,1,105,10,5,1,0,0,39.0,72,0
TKT-10045,4,3,160,16,21,1,0,0,16.0,8,1
TKT-10046,5,2,104,12,8,4,0,1,39.0,24,1
TKT-10047,9,4,162,16,23,6,1,0,6.0,2,1
TKT-10048,3,2,103,12,12,6,1,1,39.0,24,1
TKT-10049,7,1,117,12,14,5,1,1,41.0,72,0
TKT-10050,4,2,86,10,5,6,1,0,39.0,24,1
TKT-10051,6,1,134,15,5,4,0,0,77.0,72,1
TKT-10052,9,2,162,17,5,5,1,0,28.0,24,1
TKT-10053,5,4,88,9,3,4,0,0,39.0,2,1
TKT-10054,0,1,107,10,17,6,1,1,39.0,72,0
TKT-10055,4,3,128,13,11,5,1,1,7.0,8,0
TKT-10056,3,3,104,12,13,3,0,1,39.0,8,1
TKT-10057,5,2,107,12,9,5,1,1,39.0,24,1
TKT-10058,4,2,137,13,5,1,0,0,26.0,24,1
TKT-10059,1,1,120,13,11,3,0,1,38.0,72,0
TKT-10060,1,1,138,16,10,2,0,1,70.0,72,0
TKT-10061,7,2,154,16,21,4,0,0,24.0,24,0
TKT-10062,7,2,149,15,10,4,0,1,47.0,24,1
TKT-10063,9,1,139,17,11,4,0,1,73.0,72,1
TKT-10064,1,2,118,14,9,0,0,1,38.0,24,1
TKT-10065,7,1,107,12,14,1,0,1,41.0,72,0
TKT-10066,5,4,142,16,9,6,1,1,1.0,2,0
TKT-10067,3,3,155,18,6,3,0,0,20.0,8,1
TKT-10068,3,1,157,16,21,6,1,0,80.0,72,1
TKT-10069,2,2,112,12,16,6,1,1,39.0,24,1
TKT-10070,4,2,98,9,11,1,0,1,39.0,24,1
TKT-10071,0,2,92,10,6,1,0,0,39.0,24,1
TKT-10072,4,2,135,14,1,4,0,0,22.0,24,0
TKT-10073,0,1,157,15,1,4,0,0,27.0,72,0
TKT-10074,8,2,111,12,15,2,0,1,38.0,24,1
TKT-10075,0,2,101,10,6,2,0,0,39.0,24,1
TKT-10076,4,3,104,10,7,0,0,0,39.0,8,1
TKT-10077,4,2,143,13,4,5,1,0,34.0,24,1
TKT-10078,7,2,115,12,9,1,0,1,41.0,24,1
TKT-10079,8,1,102,12,20,1,0,0,38.0,72,0
TKT-10080,9,2,94,11,5,6,1,0,40.0,24,1
TKT-10081,4,2,154,16,16,0,0,1,43.0,24,1
TKT-10082,4,1,104,10,20,3,0,0,39.0,72,0
TKT-10083,1,2,112,11,9,5,1,1,38.0,24,1
TKT-10084,4,2,145,14,3,6,1,0,41.0,24,1
TKT-10085,8,1,144,15,22,2,0,0,88.0,72,1
TKT-10086,9,2,137,16,2,3,0,0,47.0,24,1
TKT-10087,6,4,168,18,4,2,0,0,1.0,2,0
TKT-10088,9,3,103,11,10,1,0,1,40.0,8,1
TKT-10089,1,2,115,13,21,6,1,0,38.0,24,1
TKT-10090,5,1,152,15,18,6,1,1,94.0,72,1
TKT-10091,9,1,142,15,8,2,0,1,54.0,72,0
TKT-10092,6,1,155,15,10,2,0,1,29.0,72,0
TKT-10093,6,1,163,19,6,1,0,0,83.0,72,1
TKT-10094,5,2,97,12,20,1,0,0,39.0,24,1
TKT-10095,1,3,159,17,16,1,0,1,7.0,8,0
TKT-10096,6,1,116,14,11,3,0,1,39.0,72,0
TKT-10097,5,2,154,16,7,2,0,0,18.0,24,0
TKT-10098,0,2,141,16,10,1,0,1,12.0,24,0
TKT-10099,6,1,139,15,6,1,0,0,114.0,72,1
TKT-10100,1,2,96,12,10,0,0,1,38.0,24,1
TKT-10101,5,2,137,16,7,2,0,0,16.0,24,0
TKT-10102,8,1,132,14,22,0,0,0,90.0,72,1
TKT-10103,1,4,164,18,18,1,0,1,4.0,2,1
TKT-10104,8,2,144,14,15,6,1,1,44.0,24,1
TKT-10105,6,4,157,17,14,0,0,1,8.0,2,1
TKT-10106,1,4,97,12,6,1,0,0,38.0,2,1
TKT-10107,5,3,136,17,9,3,0,1,20.0,8,1
TKT-10108,6,1,117,13,23,3,0,0,30.0,72,0
TKT-10109,5,1,164,19,9,1,0,1,33.0,72,0
TKT-10110,6,1,162,18,1,6,1,0,88.0,72,1
TKT-10111,8,3,110,12,20,1,0,0,38.0,8,1
TKT-10112,2,2,111,12,15,0,0,1,39.0,24,1
TKT-10113,0,1,110,12,4,0,0,0,39.0,72,0
TKT-10114,9,2,108,12,16,4,0,1,40.0,24,1
TKT-10115,7,3,163,18,11,6,1,1,17.0,8,1
TKT-10116,5,2,141,16,9,4,0,1,38.0,24,1
TKT-10117,6,1,94,11,12,4,0,1,39.0,72,0
TKT-10118,2,2,113,12,11,5,1,1,39.0,24,1
TKT-10119,5,2,142,17,3,6,1,0,26.0,24,1
TKT-10120,8,3,149,15,20,1,0,0,7.0,8,0
TKT-10121,7,2,164,17,13,5,1,1,29.0,24,1
TKT-10122,6,1,158,18,3,3,0,0,61.0,72,0
TKT-10123,7,3,134,14,10,2,0,1,16.0,8,1
TKT-10124,9,1,142,16,9,2,0,1,35.0,72,0
TKT-10125,2,2,108,11,5,0,0,0,39.0,24,1
TKT-10126,3,2,150,17,1,2,0,0,32.0,24,1
TKT-10127,2,3,161,17,2,4,0,0,9.0,8,1
TKT-10128,4,1,147,14,7,5,1,0,114.0,72,1
TKT-10129,0,3,94,10,8,3,0,1,39.0,8,1
TKT-10130,5,2,140,16,16,1,0,1,34.0,24,1
TKT-10131,6,2,88,9,12,0,0,1,39.0,24,1
TKT-10132,0,3,89,10,17,1,0,1,39.0,8,1
TKT-10133,0,4,152,17,1,6,1,0,6.0,2,1
TKT-10134,1,2,107,12,12,6,1,1,38.0,24,1
TKT-10135,1,4,135,16,12,0,0,1,6.0,2,1
TKT-10136,5,1,151,16,7,4,0,0,32.0,72,0
TKT-10137,6,1,128,14,4,1,0,0,92.0,72,1
TKT-10138,3,4,132,12,18,1,0,1,2.0,2,0
TKT-10139,8,3,151,16,6,2,0,0,5.0,8,0
TKT-10140,5,1,88,10,6,5,1,0,39.0,72,0
TKT-10141,4,1,144,15,15,1,0,1,33.0,72,0
TKT-10142,3,2,160,17,22,1,0,0,26.0,24,1
TKT-10143,5,2,100,12,10,1,0,1,39.0,24,1
TKT-10144,1,1,142,16,14,1,0,1,34.0,72,0
TKT-10145,3,1,146,18,1,4,0,0,70.0,72,0
TKT-10146,1,2,137,15,23,6,1,0,46.0,24,1
TKT-10147,1,3,151,15,17,6,1,1,8.0,8,0
TKT-10148,9,2,118,14,22,0,0,0,40.0,24,1
TKT-10149,6,4,111,12,16,4,0,1,39.0,2,1
TKT-10150,6,2,163,17,9,5,1,1,31.0,24,1
TKT-10151,8,2,137,14,6,3,0,0,38.0,24,1
TKT-10152,1,3,157,17,22,6,1,0,18.0,8,1
TKT-10153,3,3,164,16,16,0,0,1,15.0,8,1
TKT-10154,7,1,164,17,12,3,0,1,91.0,72,1
TKT-10155,4,1,95,10,6,4,0,0,39.0,72,0
TKT-10156,6,1,98,12,0,3,0,0,39.0,72,0
TKT-10157,9,2,131,15,19,5,1,0,39.0,24,1
TKT-10158,9,1,99,12,18,3,0,1,40.0,72,0
TKT-10159,9,3,111,12,17,3,0,1,40.0,8,1
TKT-10160,0,1,129,15,10,6,1,1,65.0,72,0
TKT-10161,1,2,120,14,5,6,1,0,38.0,24,1
TKT-10162,2,4,102,11,4,2,0,0,39.0,2,1
TKT-10163,1,2,89,10,8,2,0,1,38.0,24,1
TKT-10164,5,4,144,15,3,2,0,0,5.0,2,1
TKT-10165,4,1,97,8,20,6,1,0,39.0,72,0
TKT-10166,4,1,135,14,12,2,0,1,37.0,72,0
TKT-10167,7,2,145,16,18,3,0,1,13.0,24,0
TKT-10168,4,2,135,14,20,1,0,0,9.0,24,0
TKT-10169,9,2,99,12,3,5,1,0,40.0,24,1
TKT-10170,0,1,111,12,17,2,0,1,39.0,72,0
TKT-10171,0,1,109,11,12,4,0,1,39.0,72,0
TKT-10172,4,2,131,15,2,5,1,0,19.0,24,0
TKT-10173,2,2,158,17,19,0,0,0,12.0,24,0
TKT-10174,4,3,95,9,14,4,0,1,39.0,8,1
TKT-10175,3,1,164,18,22,3,0,0,64.0,72,0
TKT-10176,2,2,111,12,2,3,0,0,39.0,24,1
TKT-10177,8,1,169,17,11,2,0,1,105.0,72,1
TKT-10178,8,1,93,9,6,1,0,0,38.0,72,0
TKT-10179,0,2,114,12,20,0,0,0,39.0,24,1
TKT-10180,0,1,140,16,17,0,0,1,64.0,72,0
TKT-10181,0,3,104,11,0,5,1,0,39.0,8,1
TKT-10182,6,1,113,12,1,4,0,0,39.0,72,0
TKT-10183,0,1,100,12,5,1,0,0,39.0,72,0
TKT-10184,3,1,160,16,8,6,1,1,46.0,72,0
TKT-10185,6,1,130,14,8,4,0,1,77.0,72,1
TKT-10186,1,1,103,12,1,6,1,0,38.0,72,0
TKT-10187,7,3,164,17,12,0,0,1,20.0,8,1
TKT-10188,8,3,147,15,4,5,1,0,11.0,8,1
TKT-10189,0,2,107,12,8,2,0,1,39.0,24,1
TKT-10190,3,2,106,12,11,0,0,1,39.0,24,1
TKT-10191,3,1,111,14,18,1,0,1,39.0,72,0
TKT-10192,4,4,95,9,9,2,0,1,39.0,2,1
TKT-10193,5,2,153,16,18,4,0,1,34.0,24,1
TKT-10194,2,1,116,11,13,1,0,1,39.0,72,0
TKT-10195,8,1,112,12,6,0,0,0,38.0,72,0
TKT-10196,9,2,142,17,8,6,1,1,48.0,24,1
TKT-10197,9,1,145,17,10,1,0,1,73.0,72,1
TKT-10198,5,2,88,9,23,0,0,0,39.0,24,1
TKT-10199,9,2,151,15,7,4,0,0,40.0,24,1
TKT-10200,3,1,150,18,4,3,0,0,64.0,72,0
TKT-10201,6,2,82,9,9,2,0,1,39.0,24,1
TKT-10202,9,2,96,11,23,2,0,0,40.0,24,1
TKT-10203,5,2,127,15,9,3,0,1,14.0,24,0
TKT-10204,3,3,162,16,4,1,0,0,4.0,8,0
TKT-10205,5,4,157,16,6,3,0,0,7.0,2,1
TKT-10206,6,1,166,17,9,0,0,1,119.0,72,1
TKT-10207,3,3,105,12,13,0,0,1,39.0,8,1
TKT-10208,3,1,161,18,12,5,1,1,110.0,72,1
TKT-10209,4,2,152,15,18,3,0,1,27.0,24,1
TKT-10210,3,3,154,16,13,6,1,1,12.0,8,1
TKT-10211,8,3,89,10,5,6,1,0,38.0,8,1
TKT-10212,2,2,110,12,9,3,0,1,39.0,24,1
TKT-10213,8,2,104,11,13,0,0,1,38.0,24,1
TKT-10214,9,3,111,12,15,0,0,1,40.0,8,1
TKT-10215,5,3,116,13,21,6,1,0,39.0,8,1
TKT-10216,4,2,90,10,22,4,0,0,39.0,24,1
TKT-10217,8,1,142,15,20,6,1,0,40.0,72,0
TKT-10218,4,2,149,14,11,1,0,1,15.0,24,0
TKT-10219,0,1,130,13,6,4,0,0,37.0,72,0
TKT-10220,3,1,147,16,13,4,0,1,50.0,72,0
TKT-10221,4,1,98,9,11,2,0,1,39.0,72,0
TKT-10222,5,2,116,11,11,1,0,1,39.0,24,1
TKT-10223,2,3,152,15,20,2,0,0,5.0,8,0
TKT-10224,1,3,133,15,9,0,0,1,17.0,8,1
TKT-10225,6,2,158,17,23,2,0,0,30.0,24,1
TKT-10226,1,4,122,14,0,4,0,0,38.0,2,1
TKT-10227,9,4,140,14,4,0,0,0,7.0,2,1
TKT-10228,5,2,138,14,23,1,0,0,38.0,24,1
TKT-10229,6,1,169,18,8,5,1,1,87.0,72,1
TKT-10230,1,1,161,16,22,5,1,0,110.0,72,1
TKT-10231,0,1,145,16,17,0,0,1,101.0,72,1
TKT-10232,6,2,118,14,20,4,0,0,39.0,24,1
TKT-10233,6,3,178,19,15,4,0,1,23.0,8,1
TKT-10234,5,3,98,10,8,3,0,1,39.0,8,1
TKT-10235,6,2,100,12,15,4,0,1,39.0,24,1
TKT-10236,0,4,153,15,4,6,1,0,4.0,2,1
TKT-10237,3,1,119,14,7,4,0,0,39.0,72,0
TKT-10238,6,3,121,14,14,6,1,1,39.0,8,1
TKT-10239,7,2,108,11,3,4,0,0,41.0,24,1
TKT-10240,7,3,151,16,3,4,0,0,10.0,8,1
TKT-10241,4,4,150,15,0,3,0,0,2.0,2,0
TKT-10242,9,1,113,12,10,0,0,1,40.0,72,0
TKT-10243,3,1,138,13,10,1,0,1,32.0,72,0
TKT-10244,5,2,106,12,10,1,0,1,39.0,24,1
TKT-10245,0,2,136,14,2,4,0,0,21.0,24,0
TKT-10246,0,2,145,16,7,5,1,0,12.0,24,0
TKT-10247,9,2,102,12,0,2,0,0,40.0,24,1
TKT-10248,3,1,157,18,5,5,1,0,85.0,72,1
TKT-10249,7,1,109,12,17,2,0,1,41.0,72,0
TKT-10250,9,2,153,17,3,3,0,0,26.0,24,1
TKT-10251,8,2,100,12,11,4,0,1,38.0,24,1
TKT-10252,7,2,156,17,14,6,1,1,10.0,24,0
TKT-10253,0,1,108,12,7,1,0,0,39.0,72,0
TKT-10254,7,2,117,12,15,6,1,1,41.0,24,1
TKT-10255,7,2,144,15,5,5,1,0,10.0,24,0
TKT-10256,5,1,135,16,14,2,0,1,84.0,72,1
TKT-10257,0,1,133,15,11,3,0,1,37.0,72,0
TKT-10258,8,3,147,15,21,4,0,0,18.0,8,1
TKT-10259,0,1,150,16,11,0,0,1,53.0,72,0
TKT-10260,7,2,109,12,13,1,0,1,41.0,24,1
TKT-10261,6,1,161,17,17,2,0,1,85.0,72,1
TKT-10262,6,3,128,13,20,2,0,0,7.0,8,0
TKT-10263,1,1,160,16,1,3,0,0,75.0,72,1
TKT-10264,0,2,124,12,15,0,0,1,10.0,24,0
TKT-10265,6,4,136,15,7,3,0,0,6.0,2,1
TKT-10266,6,1,95,10,21,5,1,0,39.0,72,0
TKT-10267,9,2,102,12,5,6,1,0,40.0,24,1
TKT-10268,4,3,85,10,6,4,0,0,39.0,8,1
TKT-10269,7,1,145,14,14,5,1,1,103.0,72,1
TKT-10270,1,3,135,15,5,4,0,0,14.0,8,1
TKT-10271,8,2,138,15,11,1,0,1,8.0,24,0
TKT-10272,0,1,139,16,5,3,0,0,77.0,72,1
TKT-10273,3,1,120,12,6,4,0,0,39.0,72,0
TKT-10274,6,2,143,15,1,1,0,0,21.0,24,0
TKT-10275,3,3,100,10,16,5,1,1,39.0,8,1
TKT-10276,0,2,103,12,4,2,0,0,39.0,24,1
TKT-10277,2,2,110,12,5,0,0,0,39.0,24,1
TKT-10278,8,1,134,16,0,2,0,0,84.0,72,1
TKT-10279,7,2,104,12,17,2,0,1,41.0,24,1
TKT-10280,6,2,147,17,21,2,0,0,44.0,24,1
TKT-10281,8,1,130,14,4,0,0,0,41.0,72,0
TKT-10282,7,2,156,17,19,4,0,0,35.0,24,1
TKT-10283,6,1,119,14,17,4,0,1,39.0,72,0
TKT-10284,8,1,124,11,12,1,0,1,38.0,72,0
TKT-10285,3,4,153,18,2,1,0,0,3.0,2,1
TKT-10286,4,3,142,14,21,3,0,0,8.0,8,0
TKT-10287,5,1,143,17,14,4,0,1,62.0,72,0
TKT-10288,4,1,82,9,19,5,1,0,39.0,72,0
TKT-10289,5,2,157,16,3,2,0,0,16.0,24,0
TKT-10290,9,1,152,18,4,6,1,0,48.0,72,0
TKT-10291,2,2,156,17,3,4,0,0,32.0,24,1
TKT-10292,9,2,98,11,17,6,1,1,40.0,24,1
TKT-10293,7,2,159,16,17,2,0,1,39.0,24,1
TKT-10294,5,3,127,15,10,5,1,1,21.0,8,1
TKT-10295,7,1,145,16,7,4,0,0,55.0,72,0
TKT-10296,8,2,138,15,21,2,0,0,46.0,24,1
TKT-10297,2,2,148,16,9,0,0,1,10.0,24,0
TKT-10298,6,4,111,12,6,1,0,0,39.0,2,1
TKT-10299,0,4,146,13,0,0,0,0,3.0,2,1
TKT-10300,1,4,103,11,12,0,0,1,38.0,2,1
TKT-10301,7,2,92,12,5,3,0,0,41.0,24,1
TKT-10302,0,2,107,12,18,4,0,1,39.0,24,1
TKT-10303,0,2,155,17,20,0,0,0,23.0,24,0
TKT-10304,7,2,111,12,14,0,0,1,41.0,24,1
TKT-10305,4,1,147,13,8,6,1,1,42.0,72,0
TKT-10306,6,2,163,18,6,5,1,0,9.0,24,0
TKT-10307,3,3,159,19,22,2,0,0,11.0,8,1
TKT-10308,9,1,158,17,16,1,0,1,63.0,72,0
TKT-10309,5,3,145,17,17,5,1,1,10.0,8,1
TKT-10310,8,4,103,12,15,3,0,1,38.0,2,1
TKT-10311,0,1,158,17,14,0,0,1,116.0,72,1
TKT-10312,2,1,101,12,23,4,0,0,39.0,72,0
TKT-10313,6,3,151,16,2,6,1,0,17.0,8,1
TKT-10314,4,3,129,12,4,4,0,0,9.0,8,1
TKT-10315,9,3,98,11,22,3,0,0,40.0,8,1
TKT-10316,8,2,97,10,16,3,0,1,38.0,24,1
TKT-10317,9,2,149,17,22,4,0,0,37.0,24,1
TKT-10318,3,4,140,16,9,5,1,1,6.0,2,1
TKT-10319,8,4,119,12,4,3,0,0,38.0,2,1
TKT-10320,0,2,103,10,10,1,0,1,39.0,24,1
TKT-10321,8,2,166,16,1,6,1,0,13.0,24,0
TKT-10322,5,2,146,16,11,0,0,1,35.0,24,1
TKT-10323,5,3,159,16,19,1,0,0,24.0,8,1
TKT-10324,9,3,96,11,17,5,1,1,40.0,8,1
TKT-10325,1,3,94,11,6,0,0,0,38.0,8,1
TKT-10326,1,3,137,16,14,5,1,1,8.0,8,0
TKT-10327,1,4,102,11,12,5,1,1,38.0,2,1
TKT-10328,2,4,158,16,10,3,0,1,7.0,2,1
TKT-10329,7,3,110,11,0,0,0,0,41.0,8,1
TKT-10330,7,3,156,17,12,3,0,1,5.0,8,0
TKT-10331,0,2,113,12,20,5,1,0,39.0,24,1
TKT-10332,1,1,103,12,6,2,0,0,38.0,72,0
TKT-10333,8,2,123,11,20,2,0,0,38.0,24,1
TKT-10334,0,3,142,16,22,4,0,0,11.0,8,1
TKT-10335,9,2,146,17,20,2,0,0,38.0,24,1
TKT-10336,9,2,144,16,23,5,1,0,30.0,24,1
TKT-10337,3,1,101,12,3,5,1,0,39.0,72,0
TKT-10338,7,2,137,17,15,2,0,1,44.0,24,1
TKT-10339,4,2,140,14,7,6,1,0,13.0,24,0
TKT-10340,9,2,109,12,17,4,0,1,40.0,24,1
TKT-10341,6,3,137,15,15,6,1,1,11.0,8,1
TKT-10342,7,1,138,16,20,3,0,0,70.0,72,0
TKT-10343,8,3,152,17,4,3,0,0,7.0,8,0
TKT-10344,0,3,98,9,21,0,0,0,39.0,8,1
TKT-10345,6,2,164,17,3,3,0,0,13.0,24,0
TKT-10346,9,4,136,16,4,5,1,0,5.0,2,1
TKT-10347,8,2,107,11,2,4,0,0,38.0,24,1
TKT-10348,2,1,107,12,14,2,0,1,39.0,72,0
TKT-10349,1,2,162,16,16,6,1,1,34.0,24,1
TKT-10350,5,2,95,10,9,2,0,1,39.0,24,1
TKT-10351,3,2,114,14,20,4,0,0,39.0,24,1
TKT-10352,0,3,150,14,3,0,0,0,8.0,8,0
TKT-10353,4,1,80,9,0,6,1,0,39.0,72,0
TKT-10354,3,3,154,17,12,2,0,1,16.0,8,1
TKT-10355,3,4,122,12,9,5,1,1,39.0,2,1
TKT-10356,3,2,155,17,21,6,1,0,24.0,24,0
TKT-10357,3,3,166,19,18,4,0,1,18.0,8,1
TKT-10358,9,2,100,11,14,5,1,1,40.0,24,1
TKT-10359,7,1,137,16,16,2,0,1,48.0,72,0
TKT-10360,0,2,142,14,23,0,0,0,27.0,24,1
TKT-10361,6,1,99,11,23,0,0,0,39.0,72,0
TKT-10362,5,2,102,12,13,4,0,1,39.0,24,1
TKT-10363,0,2,90,9,16,0,0,1,39.0,24,1
TKT-10364,8,4,103,12,5,6,1,0,38.0,2,1
TKT-10365,4,2,151,14,9,2,0,1,16.0,24,0
TKT-10366,4,2,144,15,4,3,0,0,15.0,24,0
TKT-10367,8,1,145,16,10,0,0,1,29.0,72,0
TKT-10368,8,2,112,12,13,0,0,1,38.0,24,1
TKT-10369,4,3,134,14,11,4,0,1,17.0,8,1
TKT-10370,7,1,105,11,11,5,1,1,41.0,72,0
TKT-10371,0,4,152,17,13,4,0,1,2.0,2,0
TKT-10372,1,1,150,16,2,1,0,0,43.0,72,0
TKT-10373,4,1,127,14,16,5,1,1,25.0,72,0
TKT-10374,0,2,111,12,6,2,0,0,39.0,24,1
TKT-10375,5,3,135,15,19,0,0,0,20.0,8,1
TKT-10376,1,1,156,18,21,3,0,0,106.0,72,1
TKT-10377,1,2,97,11,3,5,1,0,38.0,24,1
TKT-10378,4,1,137,15,15,4,0,1,46.0,72,0
TKT-10379,6,2,142,15,2,3,0,0,9.0,24,0
TKT-10380,6,2,170,17,20,1,0,0,18.0,24,0
TKT-10381,6,4,157,17,13,0,0,1,4.0,2,1
TKT-10382,5,1,143,16,1,0,0,0,44.0,72,0
TKT-10383,2,1,160,18,23,5,1,0,80.0,72,1
TKT-10384,7,1,116,12,14,3,0,1,41.0,72,0
TKT-10385,3,2,164,18,22,1,0,0,31.0,24,1
TKT-10386,6,3,129,14,12,5,1,1,11.0,8,1
TKT-10387,9,1,107,12,12,0,0,1,40.0,72,0
TKT-10388,3,2,152,18,4,2,0,0,45.0,24,1
TKT-10389,2,2,151,15,7,5,1,0,9.0,24,0
TKT-10390,4,3,99,10,2,5,1,0,39.0,8,1
TKT-10391,2,2,105,12,20,2,0,0,39.0,24,1
TKT-10392,1,2,128,16,20,6,1,0,42.0,24,1
TKT-10393,4,2,143,14,1,0,0,0,47.0,24,1
TKT-10394,1,3,154,16,6,6,1,0,24.0,8,1
TKT-10395,4,3,77,9,13,3,0,1,39.0,8,1
TKT-10396,5,2,144,16,7,2,0,0,46.0,24,1
TKT-10397,0,2,113,12,4,6,1,0,39.0,24,1
TKT-10398,9,2,168,17,6,2,0,0,19.0,24,0
TKT-10399,8,3,131,15,14,6,1,1,12.0,8,1
TKT-10400,7,4,164,17,11,4,0,1,2.0,2,0
TKT-10401,0,1,104,11,1,4,0,0,39.0,72,0
TKT-10402,9,4,144,16,3,5,1,0,2.0,2,0
TKT-10403,5,2,88,9,4,2,0,0,39.0,24,1
TKT-10404,9,1,103,11,2,6,1,0,40.0,72,0
TKT-10405,5,2,139,15,9,4,0,1,18.0,24,0
TKT-10406,8,2,146,16,7,0,0,0,47.0,24,1
TKT-10407,0,2,104,11,13,1,0,1,39.0,24,1
TKT-10408,4,1,100,9,20,4,0,0,39.0,72,0
TKT-10409,3,1,165,19,16,2,0,1,112.0,72,1
TKT-10410,7,1,114,11,22,1,0,0,41.0,72,0
TKT-10411,1,3,161,18,1,1,0,0,23.0,8,1
TKT-10412,0,2,142,14,9,3,0,1,25.0,24,1
TKT-10413,3,2,158,18,1,0,0,0,26.0,24,1
TKT-10414,9,2,142,15,18,1,0,1,18.0,24,0
TKT-10415,1,3,161,18,10,6,1,1,23.0,8,1
TKT-10416,0,2,143,16,10,4,0,1,23.0,24,0
TKT-10417,1,2,161,16,19,6,1,0,25.0,24,1
TKT-10418,3,4,144,18,6,5,1,0,4.0,2,1
TKT-10419,8,2,130,14,9,6,1,1,34.0,24,1
TKT-10420,2,2,144,16,13,1,0,1,28.0,24,1
TKT-10421,2,1,106,12,5,5,1,0,39.0,72,0
TKT-10422,0,1,136,14,21,0,0,0,47.0,72,0
TKT-10423,8,2,148,14,11,2,0,1,13.0,24,0
TKT-10424,7,1,128,15,18,2,0,1,40.0,72,0
TKT-10425,2,2,106,12,18,2,0,1,39.0,24,1
TKT-10426,0,1,96,11,17,6,1,1,39.0,72,0
TKT-10427,1,1,122,14,14,6,1,1,38.0,72,0
TKT-10428,1,2,118,12,7,0,0,0,38.0,24,1
TKT-10429,6,1,80,10,8,5,1,1,39.0,72,0
TKT-10430,6,2,134,16,13,4,0,1,15.0,24,0
TKT-10431,8,1,156,16,16,2,0,1,36.0,72,0
TKT-10432,9,4,136,16,1,4,0,0,8.0,2,1
TKT-10433,3,1,94,10,19,0,0,0,39.0,72,0
TKT-10434,3,2,156,18,0,6,1,0,31.0,24,1
TKT-10435,0,2,113,12,4,0,0,0,39.0,24,1
TKT-10436,4,1,82,9,7,1,0,0,39.0,72,0
TKT-10437,9,2,128,15,19,6,1,0,9.0,24,0
TKT-10438,2,1,107,11,9,4,0,1,39.0,72,0
TKT-10439,9,2,132,15,8,4,0,1,46.0,24,1
TKT-10440,7,2,117,12,8,4,0,1,41.0,24,1
TKT-10441,8,1,98,11,16,4,0,1,38.0,72,0
TKT-10442,5,3,148,15,15,5,1,1,20.0,8,1
TKT-10443,5,2,109,12,16,5,1,1,39.0,24,1
TKT-10444,7,2,143,15,1,0,0,0,29.0,24,1
TKT-10445,2,2,111,12,2,6,1,0,39.0,24,1
